restaurant_name,location,Latitude,Longitude,Review
Ovenstory Pizza,"541, 1st Floor, Binnamangla, CMH Road, Mahadevapura B.B.M.P East, Indiranagar, Bangalore",12.97817,77.63832,5111
Empire Restaurant,"35, Castle Street, Brigade Road, Bangalore",12.9672716246,77.6089762151,3587
Leon's Burgers & Wings,"90, Coles Road, Opposite Reliance Fresh, Pulkeshi Nagar, Frazer Town, Bangalore.",12.9977255096,77.6109583693,18
Truffles,"Vasavi Complex, St. Marks Road, Bangalore",12.9719284074,77.601063028,1960
Domino's Pizza,"308, 2nd Stage, 100 Feet Road, Indiranagar, Bangalore",12.9808715513,77.6405934244,419
Biriyani Zone,"48/2A, 1st Cross, Amrutha Court, Opposite Hayagreeva School, Vignan Nagar, CV Raman Nagar, Bangalore",12.9731882362,77.678300254,73
Sri Udupi Park,"53, Near Leela Palace, Kodihalli, Old Airport Road, Bangalore",12.9620985173,77.6494162157,193
LeanCrust Pizza- ThinCrust Experts,"1, Lower Ground, Smart Avenue, 80 Feet Road, Indiranagar, Bangalore",12.980606,77.646376,402
Meghana Foods,"57/1, 1st Floor, Jayalaxmi Chambers, Near Old Galaxy Theatre, Residency Road, Bangalore",12.9731013292,77.6092397422,2316
McDonald's,"Ground Floor, Lido Mall, Swami Vivekananda Road, Ulsoor, Bangalore",12.9727638288,77.6214709505,161
KFC,"Bagmane Tech Park, Krishnappa Garden, CV Raman Nagar, Bangalore",12.9792802,77.6579585,0
Burger King,"Shop GF-1C, Ground Floor, Gopalan Signature Mall, Old Madras Road, Bangalore",12.992986,77.661929,112
Imperial Restaurant,"94-95, Residency Road, Bangalore",12.9713429246,77.6057850569,453
Rotti Walla,"60, 1st Floor, GNR Enclave, Indiranagar Double Rroad, Indiranagar, Bangalore",12.974159,77.635941,11413
A2B - Adyar Ananda Bhavan,"5, Jayavani's Ishwerya Towers, Civil Station, Meeanee Avenue, Ulsoor, Bangalore",12.9877339619,77.6184407249,71
Hyderabad Biryaani House,"25, 1st Floor, NR Chambers, Murgeshpalya, Old Airport Road, Bangalore",12.9594705911,77.6560925692,1419
M.M.A Kabab and Rolls,"Opposite Indiranagar Bus Depot, Old Madras Road, Bangalore",12.9822371878,77.6339546219,114
Kailash Parbat,"68, Ibrahim Saheb Street, Tasker Town, Commercial Street, Bangalore",12.98257,77.6098,93
Bhartiya Jalpan,"14, Commercial Street, Bangalore",12.9817115166,77.6095622778,133
Pizza Hut,"124, Ground Floor, Surya Chambers, Murgeshpalya, Old Airport Road, Bangalore",12.9589157923,77.6542451978,423
Nandhini Deluxe,"63, Coles Road, Frazer Town, Bangalore",12.9960136874,77.6130320504,476
La Pino'z Pizza,"24, Shankar Plaza, 80 Feet Road, Koramangala 4th Block, Bangalore",12.9319405576,77.632207498,792
Ambur Star Briyani Since 1890,"104/ 67-3-104, Vijay Jatti Building, 1st Main Road, Koramangala 5th Block, Bangalore",12.9347334655,77.6160508767,6
Pathaan Sir,"67, Near HDFC Bank, Coles Road, Frazer Town, Bangalore",12.995817021,77.6136271656,133
New Punjabi Hotel,"84/3, N R Colony, Hal Post, Old Airport Road, Bangalore",12.9594542543,77.6556845382,252
Donne Biriyani House,"8k, 6th Street, Markham Road, Near Garuda Mall, Richmond Road, Bangalore",12.9687023,77.6097824,418
Punjab Junction,"2/3, Puneet Complex, Main Road, Opposite New City Super Market, Kaggadasapura, Bangalore",12.9852572433,77.6733975112,319
Gowdru Hotel,"60/1, Double Road, Opposite Muthoot Finance, 2nd Stage, Indiranagar, Bangalore",12.9740236535,77.635948509,177
Nandhana Palace,"83, St. Thomas Town, Kammanahalli Main Road, Kammanahalli, Bangalore",13.0149465104,77.6358335093,1250
