Restaurant_ID,Restaurant_Name,restaurant_link,cusine,Location,Latitude,Longitude,delivery_review_number,Rating,price_for_one
1,Ovenstory Pizza,https://www.zomato.com/bangalore/ovenstory-pizza-indiranagar/order,pizza,indiranagar,12.97817039,77.63832092,5111,4.3,₹ 300
1,Ovenstory Pizza,https://www.zomato.com/bangalore/ovenstory-pizza-indiranagar/order,fast food,indiranagar,12.97817039,77.63832092,5111,4.3,₹ 300
2,Empire Restaurant,https://www.zomato.com/bangalore/empire-restaurant-1-brigade-road/order,north indian,brigade road,12.9672718,77.60897827,3587,4.0,₹ 300
2,Empire Restaurant,https://www.zomato.com/bangalore/empire-restaurant-1-brigade-road/order,biryani,brigade road,12.9672718,77.60897827,3587,4.0,₹ 300
2,Empire Restaurant,https://www.zomato.com/bangalore/empire-restaurant-1-brigade-road/order,kebab,brigade road,12.9672718,77.60897827,3587,4.0,₹ 300
2,Empire Restaurant,https://www.zomato.com/bangalore/empire-restaurant-1-brigade-road/order,chinese,brigade road,12.9672718,77.60897827,3587,4.0,₹ 300
2,Empire Restaurant,https://www.zomato.com/bangalore/empire-restaurant-1-brigade-road/order,south indian,brigade road,12.9672718,77.60897827,3587,4.0,₹ 300
2,Empire Restaurant,https://www.zomato.com/bangalore/empire-restaurant-1-brigade-road/order,mughlai,brigade road,12.9672718,77.60897827,3587,4.0,₹ 300
2,Empire Restaurant,https://www.zomato.com/bangalore/empire-restaurant-1-brigade-road/order,beverages,brigade road,12.9672718,77.60897827,3587,4.0,₹ 300
3,Leon's Burgers & Wings,https://www.zomato.com/bangalore/leons-burgers-wings-frazer-town-bangalore/order,burger,frazer town,12.99772549,77.61096191,18,4.3,₹ 300
3,Leon's Burgers & Wings,https://www.zomato.com/bangalore/leons-burgers-wings-frazer-town-bangalore/order,fast food,frazer town,12.99772549,77.61096191,18,4.3,₹ 300
3,Leon's Burgers & Wings,https://www.zomato.com/bangalore/leons-burgers-wings-frazer-town-bangalore/order,wraps,frazer town,12.99772549,77.61096191,18,4.3,₹ 300
3,Leon's Burgers & Wings,https://www.zomato.com/bangalore/leons-burgers-wings-frazer-town-bangalore/order,street food,frazer town,12.99772549,77.61096191,18,4.3,₹ 300
3,Leon's Burgers & Wings,https://www.zomato.com/bangalore/leons-burgers-wings-frazer-town-bangalore/order,desserts,frazer town,12.99772549,77.61096191,18,4.3,₹ 300
3,Leon's Burgers & Wings,https://www.zomato.com/bangalore/leons-burgers-wings-frazer-town-bangalore/order,beverages,frazer town,12.99772549,77.61096191,18,4.3,₹ 300
4,Truffles,https://www.zomato.com/bangalore/truffles-2-st-marks-road/order,burger,st. marks road,12.9719286,77.60106659,1960,4.4,₹ 300
4,Truffles,https://www.zomato.com/bangalore/truffles-2-st-marks-road/order,american,st. marks road,12.9719286,77.60106659,1960,4.4,₹ 300
4,Truffles,https://www.zomato.com/bangalore/truffles-2-st-marks-road/order,bakery,st. marks road,12.9719286,77.60106659,1960,4.4,₹ 300
4,Truffles,https://www.zomato.com/bangalore/truffles-2-st-marks-road/order,italian,st. marks road,12.9719286,77.60106659,1960,4.4,₹ 300
4,Truffles,https://www.zomato.com/bangalore/truffles-2-st-marks-road/order,oriental,st. marks road,12.9719286,77.60106659,1960,4.4,₹ 300
4,Truffles,https://www.zomato.com/bangalore/truffles-2-st-marks-road/order,continental,st. marks road,12.9719286,77.60106659,1960,4.4,₹ 300
4,Truffles,https://www.zomato.com/bangalore/truffles-2-st-marks-road/order,beverages,st. marks road,12.9719286,77.60106659,1960,4.4,₹ 300
4,Truffles,https://www.zomato.com/bangalore/truffles-2-st-marks-road/order,desserts,st. marks road,12.9719286,77.60106659,1960,4.4,₹ 300
5,Domino's Pizza,https://www.zomato.com/bangalore/dominos-pizza-indiranagar/order,pizza,indiranagar,12.9808712,77.64059448,419,4.1,₹ 300
5,Domino's Pizza,https://www.zomato.com/bangalore/dominos-pizza-indiranagar/order,fast food,indiranagar,12.9808712,77.64059448,419,4.1,₹ 300
5,Domino's Pizza,https://www.zomato.com/bangalore/dominos-pizza-indiranagar/order,desserts,indiranagar,12.9808712,77.64059448,419,4.1,₹ 300
5,Domino's Pizza,https://www.zomato.com/bangalore/dominos-pizza-indiranagar/order,beverages,indiranagar,12.9808712,77.64059448,419,4.1,₹ 300
6,Biriyani Zone,https://www.zomato.com/bangalore/biriyani-zone-cv-raman-nagar-bangalore/order,biryani,cv raman nagar,12.9731884,77.67829895,73,3.9,₹ 300
6,Biriyani Zone,https://www.zomato.com/bangalore/biriyani-zone-cv-raman-nagar-bangalore/order,north indian,cv raman nagar,12.9731884,77.67829895,73,3.9,₹ 300
6,Biriyani Zone,https://www.zomato.com/bangalore/biriyani-zone-cv-raman-nagar-bangalore/order,chinese,cv raman nagar,12.9731884,77.67829895,73,3.9,₹ 300
6,Biriyani Zone,https://www.zomato.com/bangalore/biriyani-zone-cv-raman-nagar-bangalore/order,mughlai,cv raman nagar,12.9731884,77.67829895,73,3.9,₹ 300
6,Biriyani Zone,https://www.zomato.com/bangalore/biriyani-zone-cv-raman-nagar-bangalore/order,kebab,cv raman nagar,12.9731884,77.67829895,73,3.9,₹ 300
6,Biriyani Zone,https://www.zomato.com/bangalore/biriyani-zone-cv-raman-nagar-bangalore/order,seafood,cv raman nagar,12.9731884,77.67829895,73,3.9,₹ 300
6,Biriyani Zone,https://www.zomato.com/bangalore/biriyani-zone-cv-raman-nagar-bangalore/order,ice cream,cv raman nagar,12.9731884,77.67829895,73,3.9,₹ 300
