id,hotel,link,cusine,rating,price_for_one
23,Ambur Star Briyani Since 1890,https://www.zomato.com/bangalore/ambur-star-briyani-since-1890-1-koramangala-5th-block-bangalore/order,"Biryani, Chettinad, Chinese, North Indian, South Indian",3.9,₹200 for one
24,Pathaan Sir,https://www.zomato.com/bangalore/pathaan-sir-frazer-town/order,"Rolls, Chinese, Momos",3.8,₹200 for one
25,New Punjabi Hotel,https://www.zomato.com/bangalore/new-punjabi-hotel-airport-road/order,"North Indian, Chinese",3.8,₹200 for one
26,Donne Biriyani House,https://www.zomato.com/bangalore/donne-biriyani-house-richmond-road-bangalore/order,"Biryani, South Indian",3.7,₹200 for one
27,Punjab Junction,https://www.zomato.com/bangalore/punjab-junction-kaggadasapura/order,"North Indian, Chinese, Mughlai",3.7,₹200 for one
28,Gowdru Hotel,https://www.zomato.com/bangalore/gowdru-hotel-indiranagar/order,"South Indian, Biryani",3.9,₹200 for one
29,Nandhana Palace,https://www.zomato.com/bangalore/nandhana-palace-kammanahalli/order,"Biryani, Andhra, North Indian, Chinese, Mughlai, South Indian, Desserts, Beverages",4.0,₹200 for one
30,Five Star Chicken,https://www.zomato.com/bangalore/five-star-chicken-jeevan-bhima-nagar/order,"Rolls, Fast Food",3.3,₹200 for one
31,Thalassery Restaurant,https://www.zomato.com/bangalore/thalassery-restaurant-richmond-town-bangalore/order,"Kerala, South Indian, Seafood, North Indian, Chinese, Arabian, Beverages, Shake",3.6,₹200 for one
32,Al Daaz,https://www.zomato.com/bangalore/al-daaz-hsr/order,"North Indian, Mughlai, Continental, Fast Food, Biryani, Beverages, Desserts",4.3,₹200 for one
33,Mani's Dum Biryani,https://www.zomato.com/bangalore/manis-dum-biryani-ulsoor/order,"Biryani, Kebab",4.2,₹200 for one
34,Kabab Magic,https://www.zomato.com/bangalore/kabab-magic-richmond-town-bangalore/order,"North Indian, Kebab, Hyderabadi, Mughlai, Chinese, Rolls",3.6,₹100 for one
35,Polar Bear,https://www.zomato.com/bangalore/polar-bear-cv-raman-nagar-bangalore/order,"Ice Cream, Desserts, Beverages, Shake",4.5,₹100 for one
36,Kanti Sweets,https://www.zomato.com/bangalore/kanti-sweets-airport-road/order,"Mithai, Street Food",4.3,₹100 for one
37,Kritunga Restaurant,https://www.zomato.com/bangalore/kritunga-restaurant-marathahalli/order,"Andhra, South Indian, North Indian, Biryani, Chinese, Seafood",3.7,₹100 for one
38,MOJO Pizza - 2X Toppings,https://www.zomato.com/bangalore/mojo-pizza-2x-toppings-indiranagar-bangalore/order,"Pizza, Fast Food, Desserts, Beverages",4.4,₹100 for one
39,Corner House Ice Creams,https://www.zomato.com/bangalore/corner-house-ice-creams-residency-road-bangalore/order,"Ice Cream, Desserts, Shake",4.5,₹100 for one
40,Beijing Bites,https://www.zomato.com/bangalore/beijing-bites-frazer-town/order,"Chinese, Thai, Seafood, Healthy Food, Sichuan",4.1,₹100 for one
41,Andhra Gunpowder,https://www.zomato.com/bangalore/andhra-gunpowder-jeevan-bhima-nagar-bangalore/order,"Andhra, Biryani, South Indian, Desserts, Beverages, Hyderabadi",4.2,₹100 for one
42,Behrouz Biryani,https://www.zomato.com/bangalore/behrouz-biryani-indiranagar-bangalore/order,"Biryani, Kebab, Hyderabadi, Lucknowi",4.1,₹100 for one
43,Paakashala,https://www.zomato.com/bangalore/paakashala-ulsoor-bangalore/order,"South Indian, North Indian, Chinese, Biryani, Street Food, Beverages",4.2,₹100 for one
44,CakeZone,https://www.zomato.com/bangalore/cakezone-banaswadi-bangalore/order,"Bakery, Desserts",3.9,₹100 for one
45,Sharief Bhai,https://www.zomato.com/bangalore/sharief-bhai-frazer-town-bangalore/order,"Biryani, Mughlai, Kebab, Afghan, Street Food, Beverages, Desserts",4.1,₹100 for one
46,BOX8 - Desi Meals,https://www.zomato.com/bangalore/box8-desi-meals-indiranagar-bangalore/order,"North Indian, Wraps, Fast Food, Biryani, Desserts, Beverages",4.2,₹250 for one
47,RNR Biryani - Taste Of 1953,https://www.zomato.com/bangalore/rnr-biryani-taste-of-1953-kammanahalli-bangalore/order,"Biryani, South Indian, Andhra",4.0,₹250 for one
48,Subway,https://www.zomato.com/bangalore/subway-cv-raman-nagar/order,"Healthy Food, Fast Food, Sandwich, Salad, Beverages, Wraps",3.7,₹250 for one
49,Faasos - Wraps & Rolls,https://www.zomato.com/bangalore/faasos-wraps-rolls-thippasandra-bangalore/order,"Rolls, Wraps, Fast Food",4.0,₹250 for one
50,Paradise Biryani,https://www.zomato.com/bangalore/paradise-biryani-hsr-bangalore/order,"Biryani, North Indian, Kebab",3.8,₹250 for one
51,FreshMenu,https://www.zomato.com/bangalore/freshmenu-cv-raman-nagar/order,"Continental, Healthy Food, Fast Food, Burger, Sandwich, Chinese, Pasta, Beverages",3.8,₹250 for one
52,Taco Bell,https://www.zomato.com/bangalore/taco-bell-old-madras-road-bangalore/order,"Mexican, Fast Food, Wraps, Beverages",4.1,₹250 for one
53,EatFit,https://www.zomato.com/bangalore/eatfit-banaswadi-bangalore/order,"Healthy Food, North Indian, Pizza, Burger, Pasta, Biryani, Chinese, Beverages",3.8,₹250 for one
54,Dindigul Thalappakatti,https://www.zomato.com/bangalore/dindigul-thalappakatti-mg-road-bangalore/order,"Biryani, North Indian, South Indian, Chinese, Seafood, Beverages",3.9,₹250 for one
55,California Burrito,https://www.zomato.com/bangalore/california-burrito-1-koramangala-5th-block-bangalore/order,"Mexican, Fast Food, Beverages",4.3,₹250 for one
56,WOW! Momo,https://www.zomato.com/bangalore/wow-momo-1-cv-raman-nagar-bangalore/order,"Momos, Fast Food, Tibetan",4.0,₹250 for one
57,Potful - Claypot Biryanis,https://www.zomato.com/bangalore/potful-claypot-biryanis-thippasandra-bangalore/order,"Biryani, Kebab, Mughlai, North Indian, Desserts",4.2,₹250 for one
58,Kapoor's Cafe,https://www.zomato.com/bangalore/kapoors-cafe-kalyan-nagar/order,"North Indian, Beverages, Desserts",3.9,₹200 for one
59,Natural Ice Cream,https://www.zomato.com/bangalore/natural-ice-cream-st-marks-road/order,"Ice Cream, Beverages",4.5,₹200 for one
60,Lassi Shop,https://www.zomato.com/bangalore/lassi-shop-3-banaswadi-bangalore/order,"Beverages, Fast Food, Burger, Shake, Juices, Ice Cream, Desserts",3.7,₹200 for one
61,Biryani Trip - Destination Hyderabad,https://www.zomato.com/bangalore/biryani-trip-destination-hyderabad-jeevan-bhima-nagar-bangalore/order,"Biryani, South Indian, Mughlai, Andhra, Desserts, Hyderabadi",4.2,₹200 for one
62,Madeena Hotel,https://www.zomato.com/bangalore/madeena-hotel-koramangala-5th-block-bangalore/order,"Biryani, Kebab, North Indian",4.0,₹200 for one
63,Biryani By Kilo,https://www.zomato.com/bangalore/biryani-by-kilo-koramangala-6th-block-bangalore/order,"Biryani, Hyderabadi, North Indian, Kebab, Mughlai, Desserts",4.2,₹200 for one
64,Anand Sweets And Savouries,https://www.zomato.com/bangalore/anand-sweets-and-savouries-commercial-street-bangalore/order,"Mithai, Street Food, Beverages, Desserts",4.3,₹200 for one
65,Goli Vada Pav,https://www.zomato.com/bangalore/goli-vada-pav-kaggadasapura-bangalore/order,"Street Food, Burger, Fast Food, Ice Cream",3.6,₹200 for one
66,WarmOven Cake & Desserts,https://www.zomato.com/bangalore/warmoven-cake-desserts-kaggadasapura-bangalore/order,"Bakery, Desserts, Ice Cream, Shake",3.9,₹200 for one
67,Nagarjuna,https://www.zomato.com/bangalore/nagarjuna-residency-road/order,"Andhra, Biryani, North Indian",4.3,₹200 for one
68,Kwality Wall’s Frozen Dessert and Ice Cream Shop,https://www.zomato.com/bangalore/kwality-walls-frozen-dessert-and-ice-cream-shop-2-indiranagar-bangalore/order,"Ice Cream, Desserts",4.1,₹200 for one
69,EasyBites by Empire,https://www.zomato.com/bangalore/easybites-by-empire-brigade-road-bangalore/order,"Burger, Fast Food, Beverages",4.1,₹200 for one
70,"Frozen Bottle - Milkshakes, Desserts And Ice Cream",https://www.zomato.com/bangalore/frozen-bottle-milkshakes-desserts-and-ice-cream-airport-road-bangalore/order,"Beverages, Desserts, Ice Cream, Waffle, Bakery, Healthy Food",4.2,₹250 for one
71,Amma's Pastries,https://www.zomato.com/bangalore/ammas-pastries-indiranagar/order,Bakery,4.3,₹250 for one
72,Narmada Chain of Restaurants,https://www.zomato.com/bangalore/narmada-chain-of-restaurants-frazer-town-bangalore/order,"Andhra, Hyderabadi, Biryani, North Indian, Chinese, Beverages",New,₹250 for one
73,Savoury Restaurant,https://www.zomato.com/bangalore/savoury-restaurant-kaggadasapura-bangalore/order,"Arabian, Mughlai, North Indian, Chinese, Fast Food, Beverages, Shake, Desserts",4.0,₹250 for one
74,Royal Restaurant,https://www.zomato.com/bangalore/royal-restaurant-shivajinagar/order,"North Indian, Chinese, Sichuan",3.9,₹250 for one
75,Bakingo,https://www.zomato.com/bangalore/bakingo-koramangala-1st-block/order,"Bakery, Desserts",4.3,₹250 for one
76,Vijayalakshmi Veg,https://www.zomato.com/bangalore/vijayalakshmi-veg-frazer-town-bangalore/order,"South Indian, Chinese, North Indian, Sichuan",4.0,₹250 for one
77,Rolls On Wheels,https://www.zomato.com/bangalore/rolls-on-wheels-indiranagar/order,"North Indian, Rolls, Fast Food",4.0,₹250 for one
78,The Pizza Bakery - Brew & Eatery,https://www.zomato.com/bangalore/the-pizza-bakery-brew-eatery-church-street-bangalore/order,"Pizza, Pasta, Italian, Desserts, Continental, Beverages",4.1,₹250 for one
79,Paratha Envy,https://www.zomato.com/bangalore/paratha-envy-thippasandra-bangalore/order,North Indian,4.2,₹250 for one
80,Moriz Nano Restaurant,https://www.zomato.com/bangalore/moriz-nano-restaurant-ulsoor/order,"North Indian, Chinese, Arabian, Mughlai, Fast Food, Beverages, Shake",3.5,₹250 for one
81,Call Me Chow,https://www.zomato.com/bangalore/call-me-chow-kalyan-nagar-bangalore/order,"Chinese, Japanese, Thai, Indonesian, Asian",4.2,₹250 for one
82,The Punjabi Rasoi,https://www.zomato.com/bangalore/the-punjabi-rasoi-brookefield-bangalore/order,"North Indian, Chinese, Mughlai",4.1,₹200 for one
83,Barbeque Nation,https://www.zomato.com/bangalore/barbeque-nation-ulsoor-bangalore/order,"Street Food, Mughlai, Biryani, North Indian, Desserts, Beverages, Bar Food",3.9,₹200 for one
84,Chulha Chauki Da Dhaba,https://www.zomato.com/bangalore/chulha-chauki-da-dhaba-marathahalli-bangalore/order,"North Indian, Chinese, Kebab, Mughlai, Biryani, Desserts, Beverages",4.2,₹200 for one
85,The Belgian Waffle Co.,https://www.zomato.com/bangalore/the-belgian-waffle-co-koramangala-7th-block-bangalore/order,"Waffle, Pancake, Desserts, Beverages, Ice Cream",4.3,₹200 for one
86,Baskin Robbins,https://www.zomato.com/bangalore/baskin-robbins-airport-road/order,"Ice Cream, Desserts",4.1,₹200 for one
87,Great Indian Khichdi by EatFit,https://www.zomato.com/bangalore/great-indian-khichdi-by-eatfit-basavanagudi-bangalore/order,"Healthy Food, North Indian, Ice Cream, Desserts, Beverages",3.7,₹200 for one
88,Anjappar,https://www.zomato.com/bangalore/anjappar-brigade-road-bangalore/order,"South Indian, Chettinad, Biryani, Seafood, Chinese, North Indian, Desserts, Beverages",4.0,₹200 for one
89,Glen's Bakehouse,https://www.zomato.com/bangalore/glens-bakehouse-koramangala-6th-block-bangalore/order,"Bakery, Cafe, Italian, Continental, Fast Food, Beverages, Desserts",4.3,₹200 for one
90,New Udupi Garden,https://www.zomato.com/bangalore/new-udupi-garden-airport-road-bangalore/order,"South Indian, North Indian, Beverages, Chinese",3.7,₹200 for one
91,LunchBox - Meals and Thalis,https://www.zomato.com/bangalore/lunchbox-meals-and-thalis-thippasandra-bangalore/order,North Indian,3.8,₹200 for one
92,Biryani Blues,https://www.zomato.com/bangalore/biryani-blues-church-street-bangalore/order,"Biryani, Kebab, Hyderabadi",4.1,₹200 for one
93,Theobroma,https://www.zomato.com/bangalore/theobroma-frazer-town-bangalore/order,"Bakery, Desserts, Beverages",4.3,₹200 for one
94,Aroma's Hyderabad House,https://www.zomato.com/bangalore/aromas-hyderabad-house-marathahalli-bangalore/order,"Biryani, Mughlai, North Indian, Chinese, Kebab, Beverages",3.8,₹300 for one
95,Siddique Kabab Centre,https://www.zomato.com/bangalore/siddique-kabab-centre-frazer-town/order,"Mughlai, Chinese, North Indian, Rolls, Sichuan",3.9,₹300 for one
96,Ghee And Turmeric,https://www.zomato.com/bangalore/ghee-and-turmeric-1-cv-raman-nagar-bangalore/order,North Indian,4.1,₹300 for one
97,ZAZA 22 Spice Awadhi Biryani,https://www.zomato.com/bangalore/zaza-22-spice-awadhi-biryani-indiranagar-bangalore/order,"Biryani, Mughlai, North Indian",4.0,₹300 for one
98,NH1 Bowls - Highway To North,https://www.zomato.com/bangalore/nh1-bowls-highway-to-north-indiranagar-bangalore/order,"North Indian, Kebab, Desserts",4.4,₹300 for one
99,New Udupi Grand,https://www.zomato.com/bangalore/new-udupi-grand-jeevan-bhima-nagar-bangalore/order,"South Indian, North Indian, Chinese, Street Food, Beverages, Shake",3.9,₹300 for one
100,WOW! China,https://www.zomato.com/bangalore/wow-china-church-street-bangalore/order,"Chinese, Rolls, Seafood, Desserts, Shake, Sichuan",3.9,₹300 for one
101,The Biryani Life,https://www.zomato.com/bangalore/the-biryani-life-thippasandra-bangalore/order,"Biryani, Kebab, Hyderabadi, Lucknowi",3.7,₹300 for one
102,Samosa Party,https://www.zomato.com/bangalore/samosa-party-airport-road-bangalore/order,"Street Food, Beverages",4.2,₹300 for one
103,7 Plates,https://www.zomato.com/bangalore/7-plates-frazer-town/order,"North Indian, Mughlai, Rolls, Chinese",4.1,₹300 for one
104,UBQ By Barbeque Nation,https://www.zomato.com/bangalore/ubq-by-barbeque-nation-ulsoor-bangalore/order,"North Indian, BBQ, Biryani, Kebab",3.6,₹300 for one
105,Smoor,https://www.zomato.com/bangalore/smoor-mg-road-bangalore/order,"Bakery, Desserts",4.4,₹300 for one
106,The Dessert Heaven - Pure Veg,https://www.zomato.com/bangalore/the-dessert-heaven-pure-veg-banaswadi-bangalore/order,"Desserts, Bakery",3.9,₹250 for one
107,Kaati Zone Rolls and Wraps,https://www.zomato.com/bangalore/kaati-zone-rolls-and-wraps-kaggadasapura-bangalore/order,"Rolls, Fast Food, Beverages, Wraps, Desserts, Shake",4.0,₹250 for one
108,Chai Point,https://www.zomato.com/bangalore/chai-point-mg-road/order,"Tea, Beverages, Shake, Fast Food, Rolls, Desserts, Coffee",4.0,₹250 for one
109,Ludos Pizza,https://www.zomato.com/bangalore/ludos-pizza-jeevan-bhima-nagar-bangalore/order,"Pizza, Fast Food",4.2,₹250 for one
110,Delicacy,https://www.zomato.com/bangalore/delicacy-frazer-town/order,"Chinese, Thai",3.9,₹250 for one
111,Chinese BAE,https://www.zomato.com/bangalore/chinese-bae-jeevan-bhima-nagar-bangalore/order,"Chinese, Seafood, Momos, Sichuan",4.1,₹250 for one
112,Donne Biryani Mane,https://www.zomato.com/bangalore/donne-biryani-mane-koramangala-4th-block-bangalore/order,"Biryani, South Indian",4.0,₹250 for one
113,The Good Bowl,https://www.zomato.com/bangalore/the-good-bowl-thippasandra-bangalore/order,"North Indian, Pasta, Italian",4.0,₹250 for one
114,Momoz,https://www.zomato.com/bangalore/momoz-jeevan-bhima-nagar-bangalore/order,"Chinese, Momos, Burger, Sichuan",3.8,₹250 for one
115,Mealful Rolls - India's Biggest Rolls,https://www.zomato.com/bangalore/mealful-rolls-indias-biggest-rolls-indiranagar-bangalore/order,"Rolls, Fast Food, North Indian, Desserts, Beverages",4.3,₹250 for one
116,Biggies Burger,https://www.zomato.com/bangalore/biggies-burger-frazer-town-bangalore/order,"Fast Food, Burger, Beverages",3.9,₹250 for one
117,99 Variety Dosa & Pav Bhaji,https://www.zomato.com/bangalore/99-variety-dosa-pav-bhaji-koramangala-6th-block-bangalore/order,"South Indian, Maharashtrian",3.7,₹250 for one
118,Keventers - Milkshakes & Desserts,https://www.zomato.com/bangalore/keventers-milkshakes-desserts-brigade-road-bangalore/order,"Shake, Beverages, Ice Cream",4.3,₹250 for one
119,Mad Over Donuts,https://www.zomato.com/bangalore/mad-over-donuts-brigade-road/order,"Desserts, Waffle, Beverages",4.1,₹250 for one
120,FB Cakes,https://www.zomato.com/bangalore/fb-cakes-marathahalli-bangalore/order,Bakery,3.8,₹250 for one
121,ITC Master Chef Creations,https://www.zomato.com/bangalore/itc-master-chef-creations-banaswadi-bangalore/order,"North Indian, Biryani, Mughlai, Kebab, Rolls, Desserts, Modern Indian",4.1,₹250 for one
122,Ambur Biryani Point,https://www.zomato.com/bangalore/ambur-biryani-point-koramangala-1st-block/order,Biryani,4.3,₹250 for one
123,Chung Wah,https://www.zomato.com/bangalore/chung-wah-residency-road/order,"Chinese, Thai, Vietnamese, Sichuan",4.1,₹250 for one
124,Donne Biriyani House,https://www.zomato.com/bangalore/donne-biriyani-house-kammanahalli-bangalore/order,"Biryani, South Indian",3.5,₹250 for one
125,Laddoos,https://www.zomato.com/bangalore/laddoos-jeevan-bhima-nagar/order,"Mithai, North Indian, Street Food",3.9,₹250 for one
126,Chaayos Chai+Snacks=Relax,https://www.zomato.com/bangalore/chaayos-chai-snacks-relax-cv-raman-nagar-bangalore/order,"Tea, Beverages",4.2,₹250 for one
127,Cream Stone Ice Cream,https://www.zomato.com/bangalore/cream-stone-ice-cream-frazer-town-bangalore/order,"Ice Cream, Desserts, Beverages, Shake",4.0,₹250 for one
128,Cupcake Bliss Cakes & Desserts,https://www.zomato.com/bangalore/cupcake-bliss-cakes-desserts-kaggadasapura-bangalore/order,"Bakery, Desserts",4.0,₹250 for one
129,Yumlane Pizza,https://www.zomato.com/bangalore/yumlane-pizza-kaggadasapura-bangalore/order,"Pizza, Fast Food, Desserts, Beverages",3.3,₹250 for one
130,Starbucks Coffee,https://www.zomato.com/bangalore/starbucks-coffee-mg-road-bangalore/order,"Cafe, Beverages, Desserts",3.9,₹300 for one
131,Krispy Kreme,https://www.zomato.com/bangalore/krispy-kreme-richmond-road/order,"Desserts, Beverages",4.5,₹300 for one
132,Momo Zone - The Momo Company,https://www.zomato.com/bangalore/momo-zone-the-momo-company-kaggadasapura-bangalore/order,"Chinese, Tibetan",3.9,₹300 for one
133,Just Shawarma,https://www.zomato.com/bangalore/just-shawarma-kalyan-nagar-bangalore/order,"Lebanese, Fast Food, Beverages",3.6,₹300 for one
134,IDC Kitchen,https://www.zomato.com/bangalore/idc-kitchen-residency-road-bangalore/order,"South Indian, Beverages",4.1,₹300 for one
135,Donne Biriyani Mane,https://www.zomato.com/bangalore/donne-biriyani-mane-cv-raman-nagar-bangalore/order,"Biryani, South Indian, Chinese, North Indian, Seafood",3.2,₹300 for one
136,Sweet Truth - Cake and Desserts,https://www.zomato.com/bangalore/sweet-truth-cake-and-desserts-thippasandra-bangalore/order,"Desserts, Bakery",4.1,₹300 for one
137,ibaco,https://www.zomato.com/bangalore/ibaco-brigade-road-bangalore/order,"Ice Cream, Bakery, Desserts",4.4,₹300 for one
138,Itminaan Matka Biryani - Slow Cooked,https://www.zomato.com/bangalore/itminaan-matka-biryani-slow-cooked-indiranagar-bangalore/order,"Biryani, North Indian, Desserts",4.2,₹300 for one
139,Sreeraj Lassi Bar,https://www.zomato.com/bangalore/sreeraj-lassi-bar-commercial-street/order,"Beverages, Shake, Ice Cream, Desserts",4.3,₹300 for one
140,Pure Veg Meals By LunchBox,https://www.zomato.com/bangalore/pure-veg-meals-by-lunchbox-airport-road-bangalore/order,North Indian,4.0,₹300 for one
141,Hotel Revoli Inn,https://www.zomato.com/bangalore/hotel-revoli-inn-shanti-nagar-bangalore/order,"Chinese, North Indian, Mughlai",4.0,₹300 for one
142,GOPIZZA,https://www.zomato.com/bangalore/gopizza-2-banaswadi-bangalore/order,"Pizza, Fast Food",3.8,₹300 for one
143,Donne Biriyanis Junction,https://www.zomato.com/bangalore/donne-biriyanis-junction-kammanahalli-bangalore/order,"Biryani, South Indian",3.5,₹300 for one
144,Pasta Street,https://www.zomato.com/bangalore/pasta-street-koramangala-4th-block-bangalore/order,"Pasta, Pizza, Italian, European, Salad, Desserts, Beverages",4.1,₹300 for one
145,New Tandoor,https://www.zomato.com/bangalore/new-tandoor-cv-raman-nagar/order,"North Indian, Chinese, Mughlai, Rolls, Biryani, Seafood",3.9,₹300 for one
146,Daily Sushi,https://www.zomato.com/bangalore/daily-sushi-church-street-bangalore/order,"Japanese, Korean, Sushi, Asian",3.9,₹300 for one
147,Dum Biryani Adda,https://www.zomato.com/bangalore/dum-biryani-adda-1-jeevan-bhima-nagar-bangalore/order,"Biryani, North Indian",4.0,₹300 for one
148,The Filter Coffee,https://www.zomato.com/bangalore/the-filter-coffee-kalyan-nagar/order,"South Indian, Coffee",4.3,₹300 for one
149,Zaatar,https://www.zomato.com/bangalore/zaatar-old-madras-road-bangalore/order,"BBQ, Arabian, Biryani, Chinese, North Indian, Mughlai, Desserts, Beverages",3.8,₹300 for one
150,The Dessert Zone,https://www.zomato.com/bangalore/the-dessert-zone-kaggadasapura-bangalore/order,"Desserts, Bakery",3.7,₹300 for one
151,Hamza Hotel,https://www.zomato.com/bangalore/hamza-hotel-shivajinagar-bangalore/order,"North Indian, Chinese, Mughlai, Biryani",4.2,₹300 for one
152,AB's - Absolute Barbecues,https://www.zomato.com/bangalore/abs-absolute-barbecues-marathahalli/order,"North Indian, Mangalorean, BBQ, Street Food, Desserts, Salad, Beverages",3.6,₹300 for one
153,Khan Saheb Grills and Rolls,https://www.zomato.com/bangalore/khan-saheb-grills-and-rolls-indiranagar/order,"North Indian, Rolls, Kebab, Mughlai, Biryani, Beverages",4.0,₹300 for one
154,Toscano,https://www.zomato.com/bangalore/toscano-church-street-bangalore/order,"Italian, Pizza, Salad, Continental, Desserts, Beverages, Seafood",4.0,₹500 for one
155,Just Bake,https://www.zomato.com/bangalore/just-bake-frazer-town-bangalore/order,Bakery,3.6,₹500 for one
156,Bucket Biryani,https://www.zomato.com/bangalore/bucket-biryani-brigade-road-bangalore/order,"North Indian, Biryani, Chinese, Mughlai",4.1,₹500 for one
157,Ghee Tadka Khichdi,https://www.zomato.com/bangalore/ghee-tadka-khichdi-jeevan-bhima-nagar-bangalore/order,"North Indian, Street Food",4.4,₹500 for one
158,Apsara Ice Creams,https://www.zomato.com/bangalore/apsara-ice-creams-cv-raman-nagar-bangalore/order,"Ice Cream, Desserts",4.2,₹500 for one
159,New Taj Darbar,https://www.zomato.com/bangalore/new-taj-darbar-shivajinagar-bangalore/order,"North Indian, Chinese, Mughlai, Biryani",3.6,₹500 for one
160,Aubree,https://www.zomato.com/bangalore/aubree-mg-road-bangalore/order,"Bakery, Fast Food, Italian, Thai, Desserts",4.2,₹500 for one
161,Absolute Shawarma,https://www.zomato.com/bangalore/absolute-shawarma-thippasandra-bangalore/order,"Lebanese, Rolls",3.8,₹500 for one
162,Suchithra Biryani House,https://www.zomato.com/bangalore/suchithra-biryani-house-airport-road/order,"Biryani, North Indian, Chinese, Seafood, Mughlai",4.1,₹500 for one
163,1522 - The Pub,https://www.zomato.com/bangalore/1522-the-pub-residency-road-bangalore/order,"Chinese, North Indian, Continental, Finger Food, Seafood, Beverages",4.3,₹500 for one
164,RS Shiv Sagar,https://www.zomato.com/bangalore/rs-shiv-sagar-mg-road/order,"North Indian, South Indian, Asian, Continental, Chinese, Beverages, Desserts",3.8,₹500 for one
165,Chopstick,https://www.zomato.com/bangalore/chopstick-jeevan-bhima-nagar-bangalore/order,"Chinese, Sichuan",3.7,₹500 for one
166,Mainland China,https://www.zomato.com/bangalore/mainland-china-church-street/order,"Chinese, Asian, Sushi, Momos, Japanese, Thai, Beverages",4.2,₹500 for one
