,cusine,Location,Rating,price_for_one
152,North Indian,Richmond Town,3.6,200
153,Chinese,Richmond Town,3.6,200
154,Arabian,Richmond Town,3.6,200
155,Beverages,Richmond Town,3.6,200
156,Shake,Richmond Town,3.6,200
157,North Indian,HSR,4.3,200
158,Mughlai,HSR,4.3,200
159,Continental,HSR,4.3,200
160,Fast Food,HSR,4.3,200
161,Biryani,HSR,4.3,200
162,Beverages,HSR,4.3,200
163,Desserts,HSR,4.3,200
164,Biryani,Ulsoor,4.2,200
165,Kebab,Ulsoor,4.2,200
166,North Indian,Richmond Town,3.6,100
167,Kebab,Richmond Town,3.6,100
168,Hyderabadi,Richmond Town,3.6,100
169,Mughlai,Richmond Town,3.6,100
170,Chinese,Richmond Town,3.6,100
171,Rolls,Richmond Town,3.6,100
172,Ice Cream,CV Raman Nagar,4.5,100
173,Desserts,CV Raman Nagar,4.5,100
174,Beverages,CV Raman Nagar,4.5,100
175,Shake,CV Raman Nagar,4.5,100
176,Mithai,Old Airport Road,4.3,100
177,Street Food,Old Airport Road,4.3,100
178,Andhra,Marathahalli,3.7,100
179,South Indian,Marathahalli,3.7,100
180,North Indian,Marathahalli,3.7,100
181,Biryani,Marathahalli,3.7,100
182,Chinese,Marathahalli,3.7,100
183,Seafood,Marathahalli,3.7,100
184,Pizza,Indiranagar,4.4,100
185,Fast Food,Indiranagar,4.4,100
186,Desserts,Indiranagar,4.4,100
187,Beverages,Indiranagar,4.4,100
188,Ice Cream,Residency Road,4.5,100
189,Desserts,Residency Road,4.5,100
190,Shake,Residency Road,4.5,100
191,Chinese,Frazer Town,4.1,100
192,Thai,Frazer Town,4.1,100
193,Seafood,Frazer Town,4.1,100
194,Healthy Food,Frazer Town,4.1,100
195,Sichuan,Frazer Town,4.1,100
196,Andhra,Near Jeevan Bhima Nagar,4.2,100
197,Biryani,Near Jeevan Bhima Nagar,4.2,100
198,South Indian,Near Jeevan Bhima Nagar,4.2,100
199,Desserts,Near Jeevan Bhima Nagar,4.2,100
200,Beverages,Near Jeevan Bhima Nagar,4.2,100
201,Hyderabadi,Near Jeevan Bhima Nagar,4.2,100
202,Biryani,Indiranagar,4.1,100
203,Kebab,Indiranagar,4.1,100
204,Hyderabadi,Indiranagar,4.1,100
205,Lucknowi,Indiranagar,4.1,100
206,South Indian,Ulsoor,4.2,100
207,North Indian,Ulsoor,4.2,100
208,Chinese,Ulsoor,4.2,100
209,Biryani,Ulsoor,4.2,100
210,Street Food,Ulsoor,4.2,100
211,Beverages,Ulsoor,4.2,100
212,Bakery,Banaswadi,3.9,100
213,Desserts,Banaswadi,3.9,100
214,Biryani,Frazer Town,4.1,100
215,Mughlai,Frazer Town,4.1,100
216,Kebab,Frazer Town,4.1,100
217,Afghan,Frazer Town,4.1,100
218,Street Food,Frazer Town,4.1,100
219,Beverages,Frazer Town,4.1,100
220,Desserts,Frazer Town,4.1,100
221,North Indian,Indiranagar,4.2,250
222,Wraps,Indiranagar,4.2,250
223,Fast Food,Indiranagar,4.2,250
224,Biryani,Indiranagar,4.2,250
225,Desserts,Indiranagar,4.2,250
226,Beverages,Indiranagar,4.2,250
227,Biryani,Kammanahalli,4.0,250
228,South Indian,Kammanahalli,4.0,250
229,Andhra,Kammanahalli,4.0,250
230,Healthy Food,CV Raman Nagar,3.7,250
231,Fast Food,CV Raman Nagar,3.7,250
232,Sandwich,CV Raman Nagar,3.7,250
233,Salad,CV Raman Nagar,3.7,250
234,Beverages,CV Raman Nagar,3.7,250
235,Wraps,CV Raman Nagar,3.7,250
236,Rolls,Thippasandra,4.0,250
237,Wraps,Thippasandra,4.0,250
238,Fast Food,Thippasandra,4.0,250
239,Biryani,Near HSR,3.8,250
240,North Indian,Near HSR,3.8,250
241,Kebab,Near HSR,3.8,250
242,Continental,CV Raman Nagar,3.8,250
243,Healthy Food,CV Raman Nagar,3.8,250
244,Fast Food,CV Raman Nagar,3.8,250
245,Burger,CV Raman Nagar,3.8,250
246,Sandwich,CV Raman Nagar,3.8,250
247,Chinese,CV Raman Nagar,3.8,250
248,Pasta,CV Raman Nagar,3.8,250
249,Beverages,CV Raman Nagar,3.8,250
250,Mexican,Old Madras Road,4.1,250
251,Fast Food,Old Madras Road,4.1,250
252,Wraps,Old Madras Road,4.1,250
253,Beverages,Old Madras Road,4.1,250
254,Healthy Food,Banaswadi,3.8,250
255,North Indian,Banaswadi,3.8,250
256,Pizza,Banaswadi,3.8,250
257,Burger,Banaswadi,3.8,250
258,Pasta,Banaswadi,3.8,250
259,Biryani,Banaswadi,3.8,250
260,Chinese,Banaswadi,3.8,250
261,Beverages,Banaswadi,3.8,250
262,Biryani,MG Road,3.9,250
263,North Indian,MG Road,3.9,250
264,South Indian,MG Road,3.9,250
265,Chinese,MG Road,3.9,250
266,Seafood,MG Road,3.9,250
267,Beverages,MG Road,3.9,250
268,Mexican,Koramangala 5th Block,4.3,250
269,Fast Food,Koramangala 5th Block,4.3,250
270,Beverages,Koramangala 5th Block,4.3,250
271,Momos,CV Raman Nagar,4.0,250
272,Fast Food,CV Raman Nagar,4.0,250
273,Tibetan,CV Raman Nagar,4.0,250
274,Biryani,Thippasandra,4.2,250
275,Kebab,Thippasandra,4.2,250
276,Mughlai,Thippasandra,4.2,250
277,North Indian,Thippasandra,4.2,250
278,Desserts,Thippasandra,4.2,250
279,North Indian,Kalyan Nagar,3.9,200
280,Beverages,Kalyan Nagar,3.9,200
281,Desserts,Kalyan Nagar,3.9,200
282,Ice Cream,St. Marks Road,4.5,200
283,Beverages,St. Marks Road,4.5,200
284,Beverages,Banaswadi,3.7,200
285,Fast Food,Banaswadi,3.7,200
286,Burger,Banaswadi,3.7,200
287,Shake,Banaswadi,3.7,200
288,Juices,Banaswadi,3.7,200
289,Ice Cream,Banaswadi,3.7,200
290,Desserts,Banaswadi,3.7,200
291,Biryani,Near Jeevan Bhima Nagar,4.2,200
292,South Indian,Near Jeevan Bhima Nagar,4.2,200
293,Mughlai,Near Jeevan Bhima Nagar,4.2,200
294,Andhra,Near Jeevan Bhima Nagar,4.2,200
295,Desserts,Near Jeevan Bhima Nagar,4.2,200
296,Hyderabadi,Near Jeevan Bhima Nagar,4.2,200
297,Biryani,Koramangala 5th Block,4.0,200
298,Kebab,Koramangala 5th Block,4.0,200
299,North Indian,Koramangala 5th Block,4.0,200
300,Biryani,Koramangala 6th Block,4.2,200
301,Hyderabadi,Koramangala 6th Block,4.2,200
302,North Indian,Koramangala 6th Block,4.2,200
303,Kebab,Koramangala 6th Block,4.2,200
304,Mughlai,Koramangala 6th Block,4.2,200
305,Desserts,Koramangala 6th Block,4.2,200
306,Mithai,Commercial Street,4.3,200
307,Street Food,Commercial Street,4.3,200
308,Beverages,Commercial Street,4.3,200
309,Desserts,Commercial Street,4.3,200
310,Street Food,Kaggadasapura,3.6,200
311,Burger,Kaggadasapura,3.6,200
312,Fast Food,Kaggadasapura,3.6,200
313,Ice Cream,Kaggadasapura,3.6,200
314,Bakery,Kaggadasapura,3.9,200
315,Desserts,Kaggadasapura,3.9,200
316,Ice Cream,Kaggadasapura,3.9,200
317,Shake,Kaggadasapura,3.9,200
318,Andhra,Residency Road,4.3,200
319,Biryani,Residency Road,4.3,200
320,North Indian,Residency Road,4.3,200
321,Ice Cream,Indiranagar,4.1,200
322,Desserts,Indiranagar,4.1,200
323,Burger,Brigade Road,4.1,200
324,Fast Food,Brigade Road,4.1,200
325,Beverages,Brigade Road,4.1,200
326,Beverages,Old Airport Road,4.2,250
327,Desserts,Old Airport Road,4.2,250
328,Ice Cream,Old Airport Road,4.2,250
329,Waffle,Old Airport Road,4.2,250
330,Bakery,Old Airport Road,4.2,250
331,Healthy Food,Old Airport Road,4.2,250
332,Bakery,Indiranagar,4.3,250
339,Arabian,Varsova Layout Kaggadasapura,4.0,250
340,Mughlai,Varsova Layout Kaggadasapura,4.0,250
341,North Indian,Varsova Layout Kaggadasapura,4.0,250
342,Chinese,Varsova Layout Kaggadasapura,4.0,250
343,Fast Food,Varsova Layout Kaggadasapura,4.0,250
344,Beverages,Varsova Layout Kaggadasapura,4.0,250
345,Shake,Varsova Layout Kaggadasapura,4.0,250
346,Desserts,Varsova Layout Kaggadasapura,4.0,250
347,North Indian,Shivajinagar,3.9,250
348,Chinese,Shivajinagar,3.9,250
349,Sichuan,Shivajinagar,3.9,250
350,Bakery,Koramangala 1st Block,4.3,250
351,Desserts,Koramangala 1st Block,4.3,250
352,South Indian,Frazer Town,4.0,250
353,Chinese,Frazer Town,4.0,250
354,North Indian,Frazer Town,4.0,250
355,Sichuan,Frazer Town,4.0,250
356,North Indian,Indiranagar,4.0,250
357,Rolls,Indiranagar,4.0,250
358,Fast Food,Indiranagar,4.0,250
359,Pizza,Church Street,4.1,250
360,Pasta,Church Street,4.1,250
361,Italian,Church Street,4.1,250
362,Desserts,Church Street,4.1,250
363,Continental,Church Street,4.1,250
364,Beverages,Church Street,4.1,250
365,North Indian,Thippasandra,4.2,250
366,North Indian,Ulsoor,3.5,250
367,Chinese,Ulsoor,3.5,250
368,Arabian,Ulsoor,3.5,250
369,Mughlai,Ulsoor,3.5,250
370,Fast Food,Ulsoor,3.5,250
371,Beverages,Ulsoor,3.5,250
372,Shake,Ulsoor,3.5,250
373,Chinese,Kalyan Nagar,4.2,250
374,Japanese,Kalyan Nagar,4.2,250
375,Thai,Kalyan Nagar,4.2,250
376,Indonesian,Kalyan Nagar,4.2,250
377,Asian,Kalyan Nagar,4.2,250
378,North Indian,Brookefield,4.1,200
379,Chinese,Brookefield,4.1,200
380,Mughlai,Brookefield,4.1,200
381,Street Food,Ulsoor,3.9,200
382,Mughlai,Ulsoor,3.9,200
383,Biryani,Ulsoor,3.9,200
384,North Indian,Ulsoor,3.9,200
385,Desserts,Ulsoor,3.9,200
386,Beverages,Ulsoor,3.9,200
387,Bar Food,Ulsoor,3.9,200
388,North Indian,Marathahalli,4.2,200
389,Chinese,Marathahalli,4.2,200
390,Kebab,Marathahalli,4.2,200
391,Mughlai,Marathahalli,4.2,200
392,Biryani,Marathahalli,4.2,200
393,Desserts,Marathahalli,4.2,200
394,Beverages,Marathahalli,4.2,200
395,Waffle,Koramangala 7th Block,4.3,200
396,Pancake,Koramangala 7th Block,4.3,200
397,Desserts,Koramangala 7th Block,4.3,200
398,Beverages,Koramangala 7th Block,4.3,200
399,Ice Cream,Koramangala 7th Block,4.3,200
400,Ice Cream,Old Airport Road,4.1,200
401,Desserts,Old Airport Road,4.1,200
402,Healthy Food,Basavanagudi,3.7,200
403,North Indian,Basavanagudi,3.7,200
404,Ice Cream,Basavanagudi,3.7,200
405,Desserts,Basavanagudi,3.7,200
406,Beverages,Basavanagudi,3.7,200
407,South Indian,Brigade Road,4.0,200
408,Chettinad,Brigade Road,4.0,200
409,Biryani,Brigade Road,4.0,200
410,Seafood,Brigade Road,4.0,200
411,Chinese,Brigade Road,4.0,200
412,North Indian,Brigade Road,4.0,200
413,Desserts,Brigade Road,4.0,200
414,Beverages,Brigade Road,4.0,200
415,Bakery,Koramangala 6th Block,4.3,200
416,Cafe,Koramangala 6th Block,4.3,200
417,Italian,Koramangala 6th Block,4.3,200
418,Continental,Koramangala 6th Block,4.3,200
419,Fast Food,Koramangala 6th Block,4.3,200
420,Beverages,Koramangala 6th Block,4.3,200
421,Desserts,Koramangala 6th Block,4.3,200
422,South Indian,Old Airport Road,3.7,200
423,North Indian,Old Airport Road,3.7,200
424,Beverages,Old Airport Road,3.7,200
425,Chinese,Old Airport Road,3.7,200
426,North Indian,Thippasandra,3.8,200
427,Biryani,Church Street,4.1,200
428,Kebab,Church Street,4.1,200
429,Hyderabadi,Church Street,4.1,200
430,Bakery,Frazer Town,4.3,200
431,Desserts,Frazer Town,4.3,200
432,Beverages,Frazer Town,4.3,200
433,Biryani,Marathahalli,3.8,300
434,Mughlai,Marathahalli,3.8,300
435,North Indian,Marathahalli,3.8,300
436,Chinese,Marathahalli,3.8,300
437,Kebab,Marathahalli,3.8,300
438,Beverages,Marathahalli,3.8,300
439,Mughlai,Frazer Town,3.9,300
440,Chinese,Frazer Town,3.9,300
441,North Indian,Frazer Town,3.9,300
442,Rolls,Frazer Town,3.9,300
443,Sichuan,Frazer Town,3.9,300
444,North Indian,CV Raman Nagar,4.1,300
445,Biryani,Indiranagar,4.0,300
446,Mughlai,Indiranagar,4.0,300
447,North Indian,Indiranagar,4.0,300
448,North Indian,Indiranagar,4.4,300
449,Kebab,Indiranagar,4.4,300
450,Desserts,Indiranagar,4.4,300
451,South Indian,Jeevan Bhima Nagar,3.9,300
452,North Indian,Jeevan Bhima Nagar,3.9,300
453,Chinese,Jeevan Bhima Nagar,3.9,300
454,Street Food,Jeevan Bhima Nagar,3.9,300
455,Beverages,Jeevan Bhima Nagar,3.9,300
456,Shake,Jeevan Bhima Nagar,3.9,300
457,Chinese,Church Street,3.9,300
458,Rolls,Church Street,3.9,300
459,Seafood,Church Street,3.9,300
460,Desserts,Church Street,3.9,300
461,Shake,Church Street,3.9,300
462,Sichuan,Church Street,3.9,300
463,Biryani,Thippasandra,3.7,300
464,Kebab,Thippasandra,3.7,300
465,Hyderabadi,Thippasandra,3.7,300
466,Lucknowi,Thippasandra,3.7,300
467,Street Food,Old Airport Road,4.2,300
468,Beverages,Old Airport Road,4.2,300
469,North Indian,Frazer Town,4.1,300
470,Mughlai,Frazer Town,4.1,300
471,Rolls,Frazer Town,4.1,300
472,Chinese,Frazer Town,4.1,300
473,North Indian,Ulsoor,3.6,300
474,BBQ,Ulsoor,3.6,300
475,Biryani,Ulsoor,3.6,300
476,Kebab,Ulsoor,3.6,300
477,Bakery,Near MG Road,4.4,300
478,Desserts,Near MG Road,4.4,300
479,Desserts,Banaswadi,3.9,250
480,Bakery,Banaswadi,3.9,250
481,Rolls,Kaggadasapura,4.0,250
482,Fast Food,Kaggadasapura,4.0,250
483,Beverages,Kaggadasapura,4.0,250
484,Wraps,Kaggadasapura,4.0,250
485,Desserts,Kaggadasapura,4.0,250
486,Shake,Kaggadasapura,4.0,250
487,Tea,MG Road,4.0,250
488,Beverages,MG Road,4.0,250
489,Shake,MG Road,4.0,250
490,Fast Food,MG Road,4.0,250
491,Rolls,MG Road,4.0,250
