,cusine,Location,Rating,price_for_one
6129,Sichuan,Jayanagar,3.4,250
6130,Biryani,HSR,4.0,250
6131,North Indian,HSR,4.0,250
6132,Kebab,HSR,4.0,250
6133,Desserts,HSR,4.0,250
6134,Beverages,HSR,4.0,250
6135,French,Bellandur,4.1,250
6136,Continental,Bellandur,4.1,250
6137,Sandwich,Bellandur,4.1,250
6138,Desserts,Bellandur,4.1,250
6139,Beverages,Bellandur,4.1,250
6140,Fast Food,BTM,4.0,250
6141,Desserts,BTM,4.0,250
6142,Beverages,BTM,4.0,250
6143,Street Food,HSR,3.9,250
6144,Fast Food,HSR,3.9,250
6145,Biryani,BTM,3.9,250
6146,North Indian,BTM,3.9,250
6147,Chinese,BTM,3.9,250
6148,Desserts,BTM,3.9,250
6149,Beverages,BTM,3.9,250
6150,North Indian,BTM,3.8,250
6151,Mughlai,BTM,3.8,250
6152,Chinese,BTM,3.8,250
6153,Seafood,BTM,3.8,250
6154,Street Food,BTM,4.0,250
6155,Fast Food,BTM,4.0,250
6156,Continental,BTM,4.0,250
6157,Chinese,BTM,4.0,250
6158,Shake,BTM,4.0,250
6159,Sichuan,BTM,4.0,250
6160,North Indian,HSR,4.0,250
6161,Chinese,HSR,4.0,250
6162,BBQ,HSR,4.0,250
6163,Sichuan,HSR,4.0,250
6164,Juices,HSR,3.5,100
6165,Beverages,HSR,3.5,100
6166,Shake,HSR,3.5,100
6167,Ice Cream,HSR,3.5,100
6168,South Indian,HSR,3.9,100
6169,North Indian,HSR,3.9,100
6170,Chinese,HSR,3.9,100
6171,Fast Food,HSR,3.9,100
6172,Shake,HSR,3.9,100
6173,Sichuan,HSR,3.9,100
6174,South Indian,BTM,4.0,100
6175,South Indian,HSR,3.9,100
6176,North Indian,HSR,3.9,100
6177,Chinese,HSR,3.9,100
6178,Street Food,HSR,3.9,100
6179,Bakery,Sarjapur Road,4.2,100
6180,South Indian,HSR,3.9,100
6181,North Indian,HSR,3.9,100
6182,Chinese,HSR,3.9,100
6183,Street Food,HSR,3.9,100
6184,Beverages,HSR,3.9,100
6185,Andhra,Sarjapur Road,4.2,100
6186,Biryani,Sarjapur Road,4.2,100
6187,North Indian,Sarjapur Road,4.2,100
6188,Beverages,Sarjapur Road,4.2,100
6189,Fast Food,HSR,3.3,100
6190,Chinese,HSR,3.5,100
6191,Momos,HSR,3.5,100
6192,Desserts,HSR,3.5,100
6193,Beverages,HSR,3.5,100
6194,Sichuan,HSR,3.5,100
6195,Ice Cream,Sarjapur Road,4.1,100
6196,Mithai,Sarjapur Road,4.1,100
6197,Desserts,Sarjapur Road,4.1,100
6198,Naga,HSR,4.3,100
6199,Chinese,HSR,4.3,100
6200,Beverages,HSR,4.3,100
6201,North Indian,Bannerghatta Road,4.1,100
6202,Biryani,Sarjapur Road,4.0,250
6203,North Indian,Sarjapur Road,4.0,250
6204,Chinese,Sarjapur Road,4.0,250
6205,Chinese,Jayanagar,3.8,250
6206,Desserts,Jayanagar,3.8,250
6207,Seafood,Jayanagar,3.8,250
6208,Burger,Jayanagar,3.8,250
6209,Sichuan,Jayanagar,3.8,250
6210,North Indian,HSR,3.5,250
6211,Beverages,HSR,3.5,250
6212,Rajasthani,HSR,3.5,250
6213,Shake,HSR,3.5,250
6214,Kerala,HSR,4.1,250
6215,South Indian,HSR,4.1,250
6216,Fast Food,BTM,4.1,250
6217,Sandwich,BTM,4.1,250
6218,Beverages,BTM,4.1,250
6219,Ice Cream,BTM,4.1,250
6220,Shake,BTM,4.1,250
6221,Cafe,BTM,3.5,250
6222,Fast Food,BTM,3.5,250
6223,Coffee,BTM,3.5,250
6224,Beverages,BTM,3.5,250
6225,Desserts,BTM,3.5,250
6226,South Indian,BTM,4.1,250
6227,Andhra,HSR,3.6,250
6228,Biryani,HSR,3.6,250
6229,North Indian,HSR,3.6,250
6230,Chinese,HSR,3.6,250
6231,Seafood,HSR,3.6,250
6232,Chettinad,Sarjapur Road,3.4,250
6233,North Indian,Sarjapur Road,3.4,250
6234,Shawarma,Sarjapur Road,3.9,250
6235,Fast Food,Sarjapur Road,3.9,250
6236,Beverages,Sarjapur Road,3.9,250
6237,Momos,BTM,4.2,250
6238,Arabian,BTM,3.5,250
6239,North Indian,BTM,3.5,250
6240,Chinese,BTM,3.5,250
6241,Fast Food,BTM,3.5,250
6242,Beverages,BTM,3.5,250
6243,Desserts,BTM,3.5,250
6244,Ice Cream,Bommanahalli,3.2,100
6245,Desserts,Bommanahalli,3.2,100
6246,Burger,HSR,3.9,100
6247,Rolls,HSR,3.9,100
6248,Beverages,HSR,3.9,100
6249,Desserts,HSR,3.9,100
6250,Shake,HSR,3.9,100
6251,Pizza,BTM,3.7,100
6252,Chinese,JP Nagar,3.8,100
6253,Sichuan,JP Nagar,3.8,100
6254,North Indian,HSR,3.9,100
6255,Mughlai,HSR,3.9,100
6256,Biryani,HSR,3.9,100
6257,Rolls,HSR,3.9,100
6258,South Indian,Sarjapur Road,4.1,100
6259,North Indian,Sarjapur Road,4.1,100
6260,Chinese,Sarjapur Road,4.1,100
6261,Street Food,Sarjapur Road,4.1,100
6262,Ice Cream,Sarjapur Road,4.1,100
6263,Desserts,Sarjapur Road,4.1,100
6264,Beverages,Sarjapur Road,4.1,100
6265,South Indian,Sarjapur Road,3.8,100
6266,Fast Food,Sarjapur Road,3.8,100
6267,Sandwich,Sarjapur Road,3.8,100
6268,Street Food,Sarjapur Road,3.8,100
6269,Desserts,Sarjapur Road,3.8,100
6270,Beverages,Sarjapur Road,3.8,100
6271,Mithai,Koramangala 6th Block,4.1,100
6272,Street Food,Koramangala 6th Block,4.1,100
6273,Desserts,Koramangala 6th Block,4.1,100
6274,North Indian,Sarjapur Road,3.9,100
6275,Italian,Sarjapur Road,3.9,100
6276,Street Food,Sarjapur Road,3.9,100
6277,Desserts,Sarjapur Road,3.9,100
6278,Beverages,Sarjapur Road,3.9,100
6279,Cafe,Bellandur,4.2,100
6280,Coffee,Bellandur,4.2,100
6281,Fast Food,Bellandur,4.2,100
6282,Pizza,Bellandur,4.2,100
6283,Beverages,Bellandur,4.2,100
6284,Chinese,BTM,3.9,100
6285,North Indian,BTM,3.9,100
6286,Kerala,BTM,3.9,100
6287,South Indian,BTM,3.9,100
6288,Biryani,BTM,3.9,100
6289,Seafood,BTM,3.9,100
6290,Mughlai,BTM,3.9,100
6291,North Indian,Sarjapur Road,3.9,100
6292,Fast Food,Sarjapur Road,3.9,100
6293,Street Food,Sarjapur Road,3.9,100
6294,Shake,Sarjapur Road,3.9,100
6295,Beverages,Sarjapur Road,3.9,100
6296,Biryani,HSR,3.7,250
6297,South Indian,HSR,3.7,250
6298,Bakery,HSR,4.2,250
6299,Desserts,HSR,4.2,250
6300,Healthy Food,Bellandur,3.8,250
6301,North Indian,Bellandur,3.8,250
6302,Ice Cream,Bellandur,3.8,250
6303,Desserts,Bellandur,3.8,250
6308,Bengali,BTM,4.2,250
6309,North Indian,BTM,4.2,250
6310,Seafood,BTM,4.2,250
6311,Mughlai,BTM,4.2,250
6312,Arabian,Sarjapur Road,4.0,250
6313,North Indian,Sarjapur Road,4.0,250
6314,Chinese,Sarjapur Road,4.0,250
6315,Fast Food,Sarjapur Road,4.0,250
6316,Shake,Sarjapur Road,4.0,250
6317,Desserts,Sarjapur Road,4.0,250
6318,North Indian,Koramangala 5th Block,3.9,250
6319,Odia,Koramangala 5th Block,3.9,250
6320,South Indian,Koramangala 5th Block,3.9,250
6321,Chinese,Koramangala 5th Block,3.9,250
6322,Fast Food,Koramangala 5th Block,3.9,250
6323,Street Food,Koramangala 5th Block,3.9,250
6324,Biryani,Koramangala 5th Block,3.9,250
6325,Chinese,BTM,3.9,250
6326,North Indian,BTM,3.9,250
6327,South Indian,BTM,3.9,250
6328,Street Food,BTM,3.9,250
6329,Desserts,BTM,3.9,250
6330,Beverages,BTM,3.9,250
6331,North Indian,Bommanahalli,4.0,250
6332,Chinese,Bommanahalli,4.0,250
6333,Mughlai,Bommanahalli,4.0,250
6334,Sandwich,BTM,4.0,250
6335,Fast Food,BTM,4.0,250
6336,North Indian,HSR,4.0,250
6337,South Indian,HSR,4.0,250
6338,Lebanese,Koramangala 7th Block,4.3,250
6339,North Indian,Sarjapur Road,3.9,150
6340,Mughlai,Sarjapur Road,3.9,150
6341,Chinese,Sarjapur Road,3.9,150
6342,Thai,Bellandur,4.0,150
6343,Chinese,Bellandur,4.0,150
6344,Momos,Bellandur,4.0,150
6345,North Indian,Electronic City,4.0,150
6346,Mughlai,Electronic City,4.0,150
6347,Chinese,Sarjapur Road,4.2,150
6348,North Indian,Sarjapur Road,4.2,150
6349,Seafood,Sarjapur Road,4.2,150
6350,Fast Food,Sarjapur Road,4.2,150
6351,Desserts,Sarjapur Road,4.2,150
6352,Beverages,Sarjapur Road,4.2,150
6353,Sichuan,Sarjapur Road,4.2,150
6354,Street Food,Koramangala 5th Block,3.8,150
6355,North Indian,Koramangala 5th Block,3.8,150
6356,Fast Food,Koramangala 5th Block,3.8,150
6357,Chinese,BTM,3.8,150
6358,Seafood,BTM,3.8,150
6359,Sichuan,BTM,3.8,150
6360,Arabian,Bommanahalli,3.6,150
6361,Biryani,Bommanahalli,3.6,150
6362,Chinese,Bommanahalli,3.6,150
6363,South Indian,Bommanahalli,3.6,150
6364,Beverages,Bommanahalli,3.6,150
6365,Shake,Bommanahalli,3.6,150
6366,Chinese,Bellandur,3.9,150
6367,Momos,Bellandur,3.9,150
6368,Italian,BTM,4.3,150
6369,Mexican,BTM,4.3,150
6370,Fast Food,Sarjapur Road,4.0,150
6371,Street Food,Sarjapur Road,4.0,150
6372,Momos,Sarjapur Road,4.0,150
6373,Pizza,BTM,4.2,150
6374,Italian,BTM,4.2,150
6375,Ice Cream,BTM,4.2,150
6376,Shake,BTM,4.2,150
6377,Biryani,HSR,3.9,150
6378,Chinese,HSR,3.9,150
6379,North Indian,HSR,3.9,150
6380,Hyderabadi,HSR,3.9,150
6381,Andhra,HSR,3.9,150
6382,Sichuan,HSR,3.9,150
6383,Bengali,BTM,4.0,150
6384,North Indian,BTM,4.0,150
6385,Chinese,BTM,4.0,150
6386,Biryani,BTM,4.0,150
6387,Biryani,Bommanahalli,3.3,150
6388,North Indian,Bommanahalli,3.3,150
6389,South Indian,Bommanahalli,4.2,150
6390,Biryani,BTM,3.6,150
6391,Rolls,BTM,3.6,150
6392,Mughlai,BTM,3.6,150
6393,North Indian,BTM,3.6,150
6394,Mithai,HSR,4.3,150
6395,Desserts,HSR,4.3,150
6396,North Indian,Bommanahalli,3.3,150
6397,Chinese,Bommanahalli,3.3,150
6398,Street Food,Bommanahalli,3.3,150
6399,Sichuan,Bommanahalli,3.3,150
6400,Bakery,HSR,3.7,150
6401,Bengali,Bellandur,4.1,150
6402,Seafood,Bellandur,4.1,150
6403,Coffee,Bommanahalli,3.8,150
6404,Kerala,HSR,3.9,150
6405,Seafood,HSR,3.9,150
6406,Biryani,HSR,3.9,150
6407,South Indian,HSR,3.9,150
6408,Chinese,HSR,3.9,150
6409,North Indian,HSR,3.9,150
6410,Sichuan,HSR,3.9,150
6411,Biryani,HSR,3.6,150
6412,Chinese,HSR,3.6,150
6413,Sichuan,HSR,3.6,150
6414,Bakery,HSR,3.8,150
6415,Fast Food,BTM,3.7,100
6416,North Indian,BTM,3.7,100
6417,Street Food,BTM,3.7,100
6418,Beverages,BTM,3.7,100
6419,Chinese,BTM,3.7,100
6420,Shake,BTM,3.7,100
6421,Sichuan,BTM,3.7,100
6422,North Indian,Bommanahalli,3.9,100
6423,Chinese,Bommanahalli,3.9,100
6424,Chinese,Bannerghatta Road,4.0,100
6425,Vietnamese,Bannerghatta Road,4.0,100
6426,Thai,Bannerghatta Road,4.0,100
6427,Asian,Bannerghatta Road,4.0,100
6428,Sichuan,Bannerghatta Road,4.0,100
6429,Biryani,HSR,4.3,100
6430,Kebab,HSR,4.3,100
6431,North Indian,HSR,4.3,100
6432,BBQ,HSR,4.3,100
6433,Desserts,HSR,4.3,100
6434,Beverages,HSR,4.3,100
6435,Chinese,HSR,4.1,100
6436,North Indian,HSR,4.1,100
6437,South Indian,HSR,4.1,100
6438,Fast Food,HSR,4.1,100
6439,Street Food,HSR,4.1,100
6440,Desserts,HSR,4.1,100
6441,Beverages,HSR,4.1,100
6442,Bakery,BTM,4.1,100
6443,Desserts,BTM,4.1,100
6444,Arabian,BTM,3.7,100
6445,North Indian,BTM,3.7,100
6446,Chinese,BTM,3.7,100
6447,Biryani,BTM,3.7,100
6448,Mughlai,BTM,3.7,100
6449,Beverages,BTM,3.7,100
6450,South Indian,BTM,3.7,100
6451,Sichuan,BTM,3.7,100
6452,North Indian,Bannerghatta Road,4.1,100
6453,Healthy Food,Bannerghatta Road,4.1,100
6454,Beverages,Bannerghatta Road,4.1,100
6455,Shake,Bannerghatta Road,4.1,100
6456,North Indian,HSR,3.2,100
6457,Mughlai,HSR,3.2,100
6458,Biryani,HSR,3.2,100
6459,Desserts,HSR,3.2,100
6460,Beverages,HSR,3.2,100
6461,North Indian,HSR,4.1,100
6462,Biryani,HSR,4.0,100
6463,Andhra,HSR,4.0,100
6464,Seafood,HSR,4.0,100
6465,North Indian,HSR,4.0,100
6466,Mughlai,HSR,4.0,100
6467,Pizza,JP Nagar,3.5,100
6468,Burger,JP Nagar,3.5,100
6469,Fast Food,JP Nagar,3.5,100
6470,Mithai,HSR,4.2,100
6471,Street Food,HSR,4.2,100
6472,North Indian,HSR,4.2,100
6473,Arabian,HSR,4.3,100
6474,Fast Food,HSR,4.3,100
6475,Beverages,HSR,4.3,100
6476,Desserts,HSR,4.3,100
6477,Fast Food,JP Nagar,3.3,100
6478,Burger,JP Nagar,3.3,100
6479,South Indian,Sarjapur Road,3.9,100
6480,Beverages,Sarjapur Road,3.9,100
6481,South Indian,HSR,4.0,100
6482,North Indian,HSR,4.0,100
6483,Chinese,HSR,4.0,100
6484,Street Food,HSR,4.0,100
6485,Mughlai,HSR,4.0,100
6486,Ice Cream,HSR,4.0,100
6487,Desserts,HSR,4.0,100
6488,Beverages,HSR,4.0,100
6489,Desserts,Bannerghatta Road,3.6,100
6490,Cafe,Bannerghatta Road,3.6,100
6491,North Indian,HSR,3.7,100
6492,Chinese,HSR,3.7,100
6493,North Indian,Sarjapur Road,4.0,100
6494,South Indian,Sarjapur Road,4.0,100
6495,Mughlai,Sarjapur Road,4.0,100
6496,Street Food,Sarjapur Road,4.0,100
6497,Chinese,Sarjapur Road,4.0,100
6498,Beverages,Sarjapur Road,4.0,100
6499,North Indian,HSR,3.7,100
6500,South Indian,HSR,3.7,100
6501,Biryani,BTM,3.8,100
6502,South Indian,BTM,3.8,100
6503,Lebanese,HSR,4.0,250
6504,Fast Food,HSR,4.0,250
6505,Beverages,HSR,4.0,250
6506,South Indian,Sarjapur Road,4.1,250
6507,North Indian,Sarjapur Road,4.1,250
6508,Chinese,Sarjapur Road,4.1,250
6509,South Indian,HSR,3.6,250
6510,North Indian,HSR,3.6,250
6511,Street Food,HSR,3.6,250
6512,Andhra,HSR,3.8,250
6513,North Indian,HSR,3.8,250
6514,Chinese,HSR,3.8,250
6515,Seafood,HSR,3.8,250
6516,Desserts,HSR,3.8,250
6517,Beverages,HSR,3.8,250
6518,Chinese,HSR,3.8,250
6519,Fast Food,HSR,3.8,250
6520,Sichuan,HSR,3.8,250
6521,North Indian,BTM,4.3,250
6522,Healthy Food,BTM,4.3,250
6523,Andhra,Bommanahalli,3.9,250
6524,Biryani,Bommanahalli,3.9,250
6525,North Indian,Bommanahalli,3.9,250
6526,Chinese,Bommanahalli,3.9,250
6527,South Indian,Bommanahalli,3.9,250
6528,Fast Food,HSR,4.0,250
6529,Momos,HSR,4.0,250
6530,Street Food,HSR,4.0,250
6531,Ice Cream,HSR,4.0,250
6532,Beverages,HSR,4.0,250
6533,Bakery,HSR,4.0,250
6534,Desserts,HSR,4.0,250
6535,Mithai,HSR,4.0,250
6536,Pizza,BTM,3.6,250
6537,Italian,BTM,3.6,250
6538,South Indian,Bommanahalli,3.9,250
6539,Street Food,Bommanahalli,3.9,250
6540,Rolls,BTM,3.6,250
6541,North Indian,BTM,3.6,250
6542,Chinese,BTM,3.6,250
6543,Fast Food,BTM,3.6,250
6544,Sichuan,BTM,3.6,250
6545,North Indian,Sarjapur Road,3.8,150
6546,Chinese,Sarjapur Road,3.8,150
6547,Seafood,Sarjapur Road,3.8,150
6548,Mughlai,Sarjapur Road,3.8,150
6549,Desserts,Sarjapur Road,3.8,150
6550,Beverages,Sarjapur Road,3.8,150
6551,Sichuan,Sarjapur Road,3.8,150
6552,South Indian,BTM,4.1,150
6553,North Indian,BTM,4.1,150
6554,Street Food,BTM,4.1,150
6555,Chinese,BTM,4.1,150
6556,Beverages,BTM,4.1,150
6557,Shake,BTM,4.1,150
6558,Desserts,BTM,4.1,150
6559,Burger,Bommanahalli,4.1,150
6560,Fast Food,Bommanahalli,4.1,150
6561,South Indian,HSR,4.1,150
6562,Biryani,HSR,4.1,150
6563,Pizza,BTM,3.9,150
6564,Fast Food,BTM,3.9,150
6565,Biryani,Bommanahalli,3.7,150
6566,Chinese,Bommanahalli,3.7,150
6567,Kebab,Bommanahalli,3.7,150
6568,Andhra,HSR,4.2,150
6569,North Indian,HSR,4.2,150
6570,Chinese,HSR,4.2,150
6571,Biryani,HSR,4.2,150
6572,Beverages,HSR,4.2,150
6573,Desserts,HSR,4.2,150
6574,South Indian,BTM,3.7,150
6575,Chinese,BTM,3.7,150
6576,Street Food,BTM,3.7,150
6577,Desserts,BTM,3.7,150
6578,Beverages,BTM,3.7,150
6579,Shake,BTM,3.7,150
6580,Sichuan,BTM,3.7,150
6581,North Indian,Bommanahalli,3.7,150
6582,Continental,Bommanahalli,3.7,150
6583,Mexican,Bommanahalli,3.7,150
6584,Chinese,Bommanahalli,3.7,150
6585,Desserts,Bommanahalli,3.7,150
6586,Beverages,Bommanahalli,3.7,150
6587,Kerala,HSR,4.0,150
6588,South Indian,HSR,4.0,150
6589,Biryani,HSR,4.0,150
6590,Street Food,HSR,4.0,150
6591,North Indian,HSR,4.0,150
6592,Seafood,HSR,4.0,150
6593,Biryani,BTM,3.8,150
6594,Arabian,BTM,3.8,150
6595,Chettinad,BTM,3.8,150
6596,BBQ,BTM,3.8,150
6597,Seafood,BTM,3.8,150
6598,North Indian,BTM,3.8,150
6599,Chinese,HSR,4.2,150
6600,Momos,HSR,4.2,150
6601,Thai,HSR,4.2,150
6602,Asian,HSR,4.2,150
6603,Seafood,HSR,4.2,150
6604,Sushi,HSR,4.2,150
6605,Beverages,HSR,4.2,150
6606,North Indian,HSR,3.9,250
6607,Seafood,HSR,3.9,250
6608,BBQ,HSR,3.9,250
6609,Chinese,HSR,3.9,250
6610,Mughlai,HSR,3.9,250
6611,Lebanese,HSR,3.9,250
6612,Fast Food,HSR,3.9,250
6613,Biryani,HSR,3.9,250
6614,Chinese,BTM,3.5,250
6615,North Indian,BTM,3.5,250
6616,Mughlai,BTM,3.5,250
6617,Beverages,BTM,3.5,250
6618,Sichuan,BTM,3.5,250
6619,Maharashtrian,BTM,3.9,250
6620,Street Food,BTM,3.9,250
6621,Desserts,BTM,3.9,250
6622,Beverages,BTM,3.9,250
6623,North Indian,HSR,4.1,250
6624,Fast Food,HSR,4.1,250
6625,Chinese,HSR,4.1,250
6626,Desserts,HSR,4.1,250
6627,Beverages,HSR,4.1,250
6628,Andhra,Bellandur,3.8,250
6629,North Indian,Bellandur,3.8,250
6630,Chinese,Bellandur,3.8,250
6631,Mughlai,Bellandur,3.8,250
6632,Seafood,Bellandur,3.8,250
6633,Biryani,Bellandur,3.8,250
6634,Beverages,Bellandur,3.8,250
6635,Street Food,HSR,4.0,250
6636,North Indian,HSR,4.0,250
6643,Fast Food,BTM,3.9,250
6644,Mughlai,BTM,3.9,250
6645,Sichuan,BTM,3.9,250
6646,Biryani,HSR,3.5,250
6647,Chinese,HSR,3.5,250
6648,North Indian,HSR,3.5,250
6649,Andhra,HSR,3.5,250
6650,Sichuan,HSR,3.5,250
6651,Shake,HSR,3.5,250
6652,Beverages,HSR,3.5,250
6653,Chinese,Near BTM,3.5,250
6654,Thai,Near BTM,3.5,250
6655,Sichuan,Near BTM,3.5,250
6656,Ice Cream,Bellandur,4.2,250
6657,Desserts,Bellandur,4.2,250
6658,Shake,Bellandur,4.2,250
6659,Beverages,Bellandur,4.2,250
6660,North Indian,Sarjapur Road,3.3,250
6661,Chinese,Sarjapur Road,3.3,250
6662,Bihari,Sarjapur Road,3.3,250
6663,Biryani,Sarjapur Road,3.3,250
6664,Biryani,BTM,4.0,100
6665,South Indian,BTM,4.0,100
6666,Kebab,BTM,4.0,100
6667,Bengali,Koramangala 5th Block,3.9,100
6668,North Indian,Koramangala 5th Block,3.9,100
6669,Biryani,Koramangala 5th Block,3.9,100
6670,Rolls,Koramangala 5th Block,3.9,100
6671,Burger,Sarjapur Road,4.0,100
6672,Fast Food,Sarjapur Road,4.0,100
6673,Desserts,Sarjapur Road,4.0,100
6674,Beverages,Sarjapur Road,4.0,100
6675,Shake,Sarjapur Road,4.0,100
6676,North Indian,BTM,3.4,100
6677,Chinese,BTM,3.4,100
6678,South Indian,Bommanahalli,3.6,100
6679,North Indian,Bommanahalli,3.6,100
6680,Mughlai,Bommanahalli,3.6,100
6681,Chinese,Bommanahalli,3.6,100
6682,Biryani,Bommanahalli,3.6,100
6683,Kebab,Bommanahalli,3.6,100
6684,Beverages,Bommanahalli,3.6,100
6685,Sichuan,Bommanahalli,3.6,100
6686,Bakery,Koramangala 1st Block,4.1,100
6687,Desserts,Koramangala 1st Block,4.1,100
6688,Burger,BTM,4.0,100
6689,Chinese,BTM,4.0,100
6690,Fast Food,BTM,4.0,100
6691,North Indian,HSR,3.3,100
6692,Mughlai,HSR,3.3,100
6693,Chinese,HSR,3.3,100
6694,Sichuan,HSR,3.3,100
6695,North Indian,Bellandur,4.0,100
6696,Chinese,Bellandur,4.0,100
6697,Biryani,Bellandur,4.0,100
6698,Burger,Bellandur,4.0,100
6699,Pasta,Bellandur,4.0,100
6700,Pizza,Bellandur,4.0,100
6701,Kebab,Bellandur,4.0,100
6702,Rolls,Bellandur,4.0,100
6703,North Indian,Bellandur,4.1,100
6704,BBQ,Bellandur,4.1,100
6705,Biryani,Bellandur,4.1,100
6706,Mughlai,Bellandur,4.1,100
6707,Fast Food,Bellandur,4.1,100
6708,Beverages,Bellandur,4.1,100
6709,Desserts,Bellandur,4.1,100
6710,Fast Food,Bellandur,3.9,100
6711,Momos,Bellandur,3.9,100
6712,Street Food,Bellandur,3.9,100
6713,North Indian,Koramangala 5th Block,3.2,100
6714,South Indian,Koramangala 5th Block,3.2,100
6715,Chinese,Koramangala 5th Block,3.2,100
6716,North Indian,BTM,3.8,100
6717,Street Food,BTM,3.8,100
6718,Beverages,BTM,3.8,100
6719,Desserts,BTM,3.8,100
6720,Chinese,Near Bellandur,4.0,100
6721,Seafood,Near Bellandur,4.0,100
6722,Thai,Near Bellandur,4.0,100
6723,Sichuan,Near Bellandur,4.0,100
6724,Biryani,HSR,3.5,100
6725,South Indian,HSR,3.5,100
6726,Chinese,HSR,3.5,100
6727,Ice Cream,HSR,4.0,100
6728,Shake,HSR,4.0,100
6729,Beverages,HSR,4.0,100
6730,Desserts,HSR,4.0,100
6731,Burger,Bellandur,3.5,100
6732,Beverages,Bellandur,3.5,100
6733,Desserts,Bellandur,3.5,100
6734,American,Bellandur,3.5,100
6735,Cafe,Bellandur,3.5,100
6736,Biryani,Koramangala 7th Block,4.3,100
6737,Fast Food,Koramangala 7th Block,4.3,100
6738,North Indian,BTM,4.0,100
6739,Chinese,BTM,4.0,100
6740,Fast Food,BTM,4.0,100
6741,Bengali,HSR,4.0,100
6742,Odia,HSR,4.0,100
6743,Desserts,HSR,4.0,100
6744,Healthy Food,BTM,4.2,100
6745,North Indian,BTM,4.2,100
6746,Fast Food,BTM,4.2,100
6747,Desserts,BTM,4.2,100
6748,Fast Food,HSR,4.0,100
6749,Bakery,HSR,4.0,100
6750,Desserts,HSR,4.0,100
6751,North Indian,BTM,3.6,100
6752,Chinese,BTM,3.6,100
6753,Pizza,Sarjapur Road,3.8,250
6754,Fast Food,Sarjapur Road,3.8,250
6755,North Indian,Sarjapur Road,3.8,250
6756,Rolls,Sarjapur Road,3.8,250
6757,Chinese,Sarjapur Road,3.8,250
6758,Andhra,Sarjapur Road,3.6,250
6759,North Indian,Sarjapur Road,3.6,250
6760,Chinese,Sarjapur Road,3.6,250
6761,Seafood,Sarjapur Road,3.6,250
6762,Pizza,Bellandur,4.0,250
6763,Pasta,Bellandur,4.0,250
6764,Italian,Bellandur,4.0,250
6765,Salad,Bellandur,4.0,250
6766,Desserts,Bellandur,4.0,250
6767,Beverages,Bellandur,4.0,250
6768,Juices,Bellandur,4.0,250
6769,Bengali,Bommanahalli,3.7,250
6770,Biryani,Bommanahalli,3.7,250
6771,South Indian,Electronic City,4.2,250
6772,Chinese,Electronic City,4.2,250
6773,Fast Food,Bommanahalli,4.0,250
6774,Sandwich,Bommanahalli,4.0,250
6775,Pizza,Bommanahalli,4.0,250
6776,Burger,Bommanahalli,4.0,250
6777,Beverages,Bommanahalli,4.0,250
6778,North Indian,Koramangala 2nd Block,4.1,250
6779,Chinese,Koramangala 2nd Block,4.1,250
6780,Biryani,Koramangala 2nd Block,4.1,250
6781,Biryani,BTM,4.1,250
6782,Mughlai,BTM,4.1,250
6783,Andhra,BTM,4.1,250
6784,Hyderabadi,BTM,4.1,250
6785,South Indian,BTM,4.1,250
6786,North Indian,BTM,4.1,250
6787,North Indian,Bellandur,4.3,250
6788,Chinese,Bellandur,4.3,250
6789,Sichuan,Bellandur,4.3,250
6790,Fast Food,Bommanahalli,4.0,250
6791,Sandwich,Bommanahalli,4.0,250
6792,Burger,Bommanahalli,4.0,250
6793,Wraps,Bommanahalli,4.0,250
6794,Street Food,Bommanahalli,4.0,250
6795,Shake,Bommanahalli,4.0,250
6796,Juices,Bommanahalli,4.0,250
6797,Bakery,BTM,3.7,250
6798,Desserts,BTM,3.7,250
6799,Biryani,Sarjapur Road,4.1,250
6800,North Indian,Sarjapur Road,3.4,250
6801,Biryani,Sarjapur Road,3.4,250
6802,Chinese,Sarjapur Road,3.4,250
6803,Sichuan,Sarjapur Road,3.4,250
6804,Biryani,Sarjapur Road,4.0,250
6805,South Indian,Sarjapur Road,4.0,250
6806,Chettinad,Sarjapur Road,4.0,250
6807,Biryani,Bellandur,3.6,250
6808,South Indian,Bellandur,3.6,250
6809,Kerala,HSR,3.9,250
6810,Biryani,HSR,3.9,250
6811,South Indian,HSR,3.9,250
6812,Seafood,HSR,3.9,250
6813,North Indian,HSR,3.9,250
6814,Chinese,HSR,3.9,250
6815,Ice Cream,BTM,4.2,250
6816,Desserts,BTM,4.2,250
6817,Beverages,BTM,4.2,250
6818,Shake,BTM,4.2,250
6819,Waffle,BTM,4.2,250
6820,Healthy Food,HSR,4.4,250
6821,Beverages,HSR,4.4,250
6822,Salad,HSR,4.4,250
6823,Wraps,HSR,4.4,250
6824,Awadhi,Sarjapur Road,3.9,250
6825,Kebab,Sarjapur Road,3.9,250
6826,Biryani,Sarjapur Road,3.9,250
6827,South Indian,HSR,3.9,250
6828,Chinese,HSR,3.9,250
6829,Biryani,HSR,3.9,250
6833,North Indian,Koramangala 7th Block,3.9,250
6834,Mughlai,Koramangala 7th Block,3.9,250
6835,Biryani,Koramangala 7th Block,3.9,250
6836,Kebab,Koramangala 7th Block,3.9,250
6837,Beverages,Koramangala 7th Block,3.9,250
6838,Desserts,Koramangala 7th Block,3.9,250
6839,Biryani,BTM,4.3,250
6840,Ice Cream,Bommanahalli,4.1,100
6841,South Indian,BTM,3.6,100
