name,lat,long,review,cusine,rating,price,Location
California Burrito,12.9342067138,77.6170127839,1533,"mexican, fast food, beverages",4.3,250,koramangala 5th block
WOW! Momo,12.979198,77.658234,0,"momos, fast food, tibetan",4.0,250,cv raman nagar
Potful - Claypot Biryanis,12.9722005649,77.6528145745,2181,"biryani, kebab, mughlai, north indian, desserts",4.2,250,thippasandra
Kapoor's Cafe,13.0178737232,77.6430184767,744,"north indian, beverages, desserts",3.9,200,kalyan nagar
Natural Ice Cream,12.9714556432,77.6008504629,251,"ice cream, beverages",4.5,200,st. marks road
Lassi Shop,13.0033777851,77.6607140154,0,"beverages, fast food, burger, shake, juices, ice cream, desserts",3.7,200,banaswadi
Biryani Trip - Destination Hyderabad,12.968187,77.650777,14113,"biryani, south indian, mughlai, andhra, desserts, hyderabadi",4.2,200,near jeevan bhima nagar
Madeena Hotel,12.9352160284,77.6157328047,275,"biryani, kebab, north indian",4.0,200,koramangala 5th block
Biryani By Kilo,12.9372747329,77.6244300976,311,"biryani, hyderabadi, north indian, kebab, mughlai, desserts",4.2,200,koramangala 6th block
Anand Sweets And Savouries,12.9816445417,77.6098227873,2109,"mithai, street food, beverages, desserts",4.3,200,commercial street
Goli Vada Pav,12.9858743834,77.6713472977,0,"street food, burger, fast food, ice cream",3.6,200,kaggadasapura
WarmOven Cake & Desserts,12.9841203162,77.678485997,5036,"bakery, desserts, ice cream, shake",3.9,200,kaggadasapura
Nagarjuna,12.9732182943,77.609320879,2302,"andhra, biryani, north indian",4.3,200,residency road
Kwality Wall’s Frozen Dessert and Ice Cream Shop,12.9730421931,77.6351934671,127,"ice cream, desserts",4.1,200,indiranagar
EasyBites by Empire,12.9672850203,77.6089621335,414,"burger, fast food, beverages",4.1,200,brigade road
"Frozen Bottle - Milkshakes, Desserts And Ice Cream",12.9591171747,77.6569017261,159,"beverages, desserts, ice cream, waffle, bakery, healthy food",4.2,250,old airport road
Amma's Pastries,12.9741605479,77.6357929409,487,bakery,4.3,250,indiranagar
Narmada Chain of Restaurants,13.0005897701,77.6142034144,0,"andhra, hyderabadi, biryani, north indian, chinese, beverages",New,250,frazer town
Savoury Restaurant,12.9854415034,77.6729227602,214,"arabian, mughlai, north indian, chinese, fast food, beverages, shake, desserts",4.0,250,varsova layout kaggadasapura
Royal Restaurant,12.985728021,77.6052543148,225,"north indian, chinese, sichuan",3.9,250,shivajinagar
Bakingo,12.9245370928,77.6386592165,6420,"bakery, desserts",4.3,250,koramangala 1st block
Vijayalakshmi Veg,13.0009178833,77.6128007099,97,"south indian, chinese, north indian, sichuan",4.0,250,frazer town
Rolls On Wheels,12.9715520257,77.6357993111,84,"north indian, rolls, fast food",4.0,250,indiranagar
The Pizza Bakery - Brew & Eatery,12.975156,77.604557,172,"pizza, pasta, italian, desserts, continental, beverages",4.1,250,church street
Paratha Envy,12.968187,77.650777,7255,north indian,4.2,250,thippasandra
Moriz Nano Restaurant,12.9875702856,77.6189493388,215,"north indian, chinese, arabian, mughlai, fast food, beverages, shake",3.5,250,ulsoor
Call Me Chow,13.0078137138,77.6439857483,2617,"chinese, japanese, thai, indonesian, asian",4.2,250,kalyan nagar
The Punjabi Rasoi,12.9554742,77.7129847,3042,"north indian, chinese, mughlai",4.1,200,brookefield
Barbeque Nation,12.97362,77.62117,1654,"street food, mughlai, biryani, north indian, desserts, beverages, bar food",3.9,200,ulsoor
Chulha Chauki Da Dhaba,12.9818542876,77.6927037165,3278,"north indian, chinese, kebab, mughlai, biryani, desserts, beverages",4.2,200,marathahalli
The Belgian Waffle Co.,12.93421,77.616449,34,"waffle, pancake, desserts, beverages, ice cream",4.3,200,koramangala 7th block
Baskin Robbins,12.9591232702,77.6542619616,31,"ice cream, desserts",4.1,200,old airport road
Great Indian Khichdi by EatFit,13.008305,77.651848,356,"healthy food, north indian, ice cream, desserts, beverages",3.7,200,basavanagudi
Anjappar,12.9742458211,77.6077045128,37,"south indian, chettinad, biryani, seafood, chinese, north indian, desserts, beverages",4.0,200,brigade road
Glen's Bakehouse,12.9378805552,77.6264068857,310,"bakery, cafe, italian, continental, fast food, beverages, desserts",4.3,200,koramangala 6th block
New Udupi Garden,12.9567057333,77.6536413655,61,"south indian, north indian, beverages, chinese",3.7,200,old airport road
LunchBox - Meals and Thalis,12.971357627,77.6583540067,377,north indian,3.8,200,thippasandra
Biryani Blues,12.974674,77.605851,234,"biryani, kebab, hyderabadi",4.1,200,church street
Theobroma,12.99867,77.61548,11,"bakery, desserts, beverages",4.3,200,frazer town
Aroma's Hyderabad House,12.948674,77.69888,136,"biryani, mughlai, north indian, chinese, kebab, beverages",3.8,300,marathahalli
Siddique Kabab Centre,12.993463219,77.6085272804,553,"mughlai, chinese, north indian, rolls, sichuan",3.9,300,frazer town
Ghee And Turmeric,12.993881,77.663595,248,north indian,4.1,300,cv raman nagar
ZAZA 22 Spice Awadhi Biryani,12.98061,77.64638,792,"biryani, mughlai, north indian",4.0,300,indiranagar
NH1 Bowls - Highway To North,12.98061,77.64638,518,"north indian, kebab, desserts",4.4,300,indiranagar
New Udupi Grand,12.9679584018,77.6524628699,14,"south indian, north indian, chinese, street food, beverages, shake",3.9,300,jeevan bhima nagar
WOW! China,12.9750034764,77.6048379019,26,"chinese, rolls, seafood, desserts, shake, sichuan",3.9,300,church street
The Biryani Life,12.9713612209,77.6583439484,315,"biryani, kebab, hyderabadi, lucknowi",3.7,300,thippasandra
Samosa Party,12.9587153,77.65475578,1,"street food, beverages",4.2,300,old airport road
7 Plates,12.9970803223,77.6038930938,3118,"north indian, mughlai, rolls, chinese",4.1,300,frazer town
UBQ By Barbeque Nation,12.97362,77.62117,1371,"north indian, bbq, biryani, kebab",3.6,300,ulsoor
Smoor,12.9734401358,77.6202210412,556,"bakery, desserts",4.4,300,near mg road
The Dessert Heaven - Pure Veg,13.007994,77.641945,20,"desserts, bakery",3.9,250,banaswadi
Kaati Zone Rolls and Wraps,12.9839644784,77.6786080375,1393,"rolls, fast food, beverages, wraps, desserts, shake",4.0,250,kaggadasapura
Chai Point,12.9732728563,77.6166922599,4611,"tea, beverages, shake, fast food, rolls, desserts, coffee",4.0,250,mg road
Ludos Pizza,12.968125,77.6507868,570,"pizza, fast food",4.2,250,jeevan bhima nagar
Delicacy,12.998463184,77.6177061349,273,"chinese, thai",3.9,250,frazer town
Chinese BAE,12.9677649,77.6545273,526,"chinese, seafood, momos, sichuan",4.1,250,jeevan bhima nagar
Donne Biryani Mane,12.9368767324,77.6276759058,11,"biryani, south indian",4.0,250,koramangala 4th block
The Good Bowl,12.9712563436,77.658383511,2057,"north indian, pasta, italian",4.0,250,thippasandra
Momoz,12.9677649,77.6545273,1035,"chinese, momos, burger, sichuan",3.8,250,jeevan bhima nagar
Mealful Rolls - India's Biggest Rolls,12.98061,77.64638,525,"rolls, fast food, north indian, desserts, beverages",4.3,250,indiranagar
Biggies Burger,12.9951881,77.6142152,43,"fast food, burger, beverages",3.9,250,frazer town
99 Variety Dosa & Pav Bhaji,12.9368401346,77.6275635883,162,"south indian, maharashtrian",3.7,250,koramangala 6th block
Keventers - Milkshakes & Desserts,12.9702092011,77.609211579,22,"shake, beverages, ice cream",4.3,250,near brigade road
Mad Over Donuts,12.9705032509,77.6093031093,159,"desserts, waffle, beverages",4.1,250,brigade road
FB Cakes,12.956512,77.696509,230,bakery,3.8,250,marathahalli
ITC Master Chef Creations,12.99804274,77.6281033829,505,"north indian, biryani, mughlai, kebab, rolls, desserts, modern indian",4.1,250,banaswadi
Ambur Biryani Point,12.9277392098,77.6373633742,22,biryani,4.3,250,koramangala 1st block
Chung Wah,12.9738831651,77.6094372198,353,"chinese, thai, vietnamese, sichuan",4.1,250,residency road
Donne Biriyani House,13.0108174514,77.6350744441,2633,"biryani, south indian",3.5,250,kammanahalli
Laddoos,12.967889,77.652837,203,"mithai, north indian, street food",3.9,250,jeevan bhima nagar
Chaayos Chai+Snacks=Relax,12.9795016,77.6580343,397,"tea, beverages",4.2,250,cv raman nagar
Cream Stone Ice Cream,13.0005875,77.6153902,100,"ice cream, desserts, beverages, shake",4.0,250,frazer town
Cupcake Bliss Cakes & Desserts,12.9840958135,77.6785047725,1045,"bakery, desserts",4.0,250,kaggadasapura
Yumlane Pizza,12.96941716,77.68267161,45,"pizza, fast food, desserts, beverages",3.3,250,kaggadasapura
Starbucks Coffee,12.972850736,77.6185205206,67,"cafe, beverages, desserts",3.9,300,mg road
Krispy Kreme,12.9669276,77.6115022,60,"desserts, beverages",4.5,300,richmond road
Momo Zone - The Momo Company,12.984222,77.678224,237,"chinese, tibetan",3.9,300,kaggadasapura
Just Shawarma,13.0157736206,77.6392073929,76,"lebanese, fast food, beverages",3.6,300,kalyan nagar
IDC Kitchen,12.9659398856,77.594531849,31,"south indian, beverages",4.1,300,residency road
Donne Biriyani Mane,12.9922521702,77.6639517769,32,"biryani, south indian, chinese, north indian, seafood",3.2,300,cv raman nagar
Sweet Truth - Cake and Desserts,12.9712596108,77.6584042981,740,"desserts, bakery",4.1,300,thippasandra
ibaco,12.9677287139,77.6066309586,107,"ice cream, bakery, desserts",4.4,300,brigade road
Itminaan Matka Biryani - Slow Cooked,12.980606,77.646376,570,"biryani, north indian, desserts",4.2,300,indiranagar
Sreeraj Lassi Bar,12.9826635392,77.6107887179,181,"beverages, shake, ice cream, desserts",4.3,300,commercial street
Pure Veg Meals By LunchBox,12.95709,77.6626,43,north indian,4.0,300,old airport road
Hotel Revoli Inn,12.9559767755,77.5920712575,65,"chinese, north indian, mughlai",4.0,300,shanti nagar
GOPIZZA,13.0009569,77.6325712,17,"pizza, fast food",3.8,300,banaswadi
Donne Biriyanis Junction,13.0106684904,77.6350657269,874,"biryani, south indian",3.5,300,kammanahalli
Pasta Street,12.9330460261,77.6310799643,4060,"pasta, pizza, italian, european, salad, desserts, beverages",4.1,300,koramangala 4th block
New Tandoor,12.9852409081,77.6675026864,276,"north indian, chinese, mughlai, rolls, biryani, seafood",3.9,300,cv raman nagar
Daily Sushi,12.97579083,77.60248683,55,"japanese, korean, sushi, asian",3.9,300,church street
Dum Biryani Adda,12.9678698592,77.6544218883,3615,"biryani, north indian",4.0,300,jeevan bhima nagar
The Filter Coffee,13.017806758,77.6430312172,936,"south indian, coffee",4.3,300,kalyan nagar
Zaatar,12.9959510536,77.6667352423,699,"bbq, arabian, biryani, chinese, north indian, mughlai, desserts, beverages",3.8,300,old madras road
The Dessert Zone,12.984222,77.678224,194,"desserts, bakery",3.7,300,kaggadasapura
Hamza Hotel,12.9860481886,77.6049579307,308,"north indian, chinese, mughlai, biryani",4.2,300,shivajinagar
AB's - Absolute Barbecues,12.9498711952,77.6990903297,14867,"north indian, mangalorean, bbq, street food, desserts, salad, beverages",3.6,300,marathahalli
Khan Saheb Grills and Rolls,12.971279214,77.6350965723,1058,"north indian, rolls, kebab, mughlai, biryani, beverages",4.0,300,indiranagar
Toscano,12.9749375,77.6029375,83,"italian, pizza, salad, continental, desserts, beverages, seafood",4.0,500,church street
Just Bake,12.9962577235,77.6135748625,15,bakery,3.6,500,frazer town
Bucket Biryani,12.9671321125,77.608984597,7,"north indian, biryani, chinese, mughlai",4.1,500,brigade road
Ghee Tadka Khichdi,12.968125,77.6507868,1627,"north indian, street food",4.4,500,jeevan bhima nagar
Apsara Ice Creams,12.988970841,77.66380459,391,"ice cream, desserts",4.2,500,cv raman nagar
New Taj Darbar,12.9853641,77.6052562,64,"north indian, chinese, mughlai, biryani",3.6,500,shivajinagar
Aubree,12.972903011,77.6184883341,30,"bakery, fast food, italian, thai, desserts",4.2,500,mg road
Absolute Shawarma,12.9722368308,77.6537898928,54,"lebanese, rolls",3.8,500,thippasandra
Suchithra Biryani House,12.9590729528,77.6550951228,360,"biryani, north indian, chinese, seafood, mughlai",4.1,500,old airport road
1522 - The Pub,12.9730653901,77.6089453697,108,"chinese, north indian, continental, finger food, seafood, beverages",4.3,500,residency road
RS Shiv Sagar,12.9744970662,77.6100293174,344,"north indian, south indian, asian, continental, chinese, beverages, desserts",3.8,500,mg road
Chopstick,12.9677649,77.6545273,688,"chinese, sichuan",3.7,500,jeevan bhima nagar
Mainland China,12.9752155149,77.6039202511,2360,"chinese, asian, sushi, momos, japanese, thai, beverages",4.2,500,church street
Aligarh House by EatFit,13.0084027041,77.6517815888,321,"biryani, north indian, kebab, desserts, beverages",3.6,500,banaswadi
Sangam Sweets,13.0189932939,77.6429283067,1,"mithai, fast food, street food, beverages",4.0,500,kalyan nagar
Hotel Fanoos,12.9647509069,77.6064776712,847,"rolls, biryani, fast food, arabian",4.3,500,richmond road
Brik Oven,12.9748603748,77.6053367928,2837,"cafe, italian, fast food, beverages, waffle, desserts",4.1,500,church street
Chaatimes,12.9748103872,77.6083472371,1335,"street food, fast food",4.1,500,brigade road
Sendhoor Coffee,12.9705342947,77.6333655856,171,"south indian, beverages",3.7,500,indiranagar
Shiv Sagar,13.0021429371,77.6331432536,5,"south indian, north indian, oriental, street food, desserts, beverages, shake",3.7,500,banaswadi
Magnolia Bakery,12.9979006317,77.6965657622,1674,"bakery, desserts",4.2,500,kr puram
Empire Juices and Desserts,12.9671736067,77.6089550927,781,"juices, beverages, shake, ice cream",4.5,500,brigade road
Bangarpet Chats,13.002592,77.66766,1,street food,3.9,500,old madras road
The Thick Shake Factory,12.99147265,77.61156757,7,"ice cream, shake, desserts, tea, beverages",3.7,500,frazer town
Motis Kitchen,12.9725442737,77.653372474,499,"south indian, kerala, chinese, seafood, chettinad",4.2,150,thippasandra
Sri Srinivas Pork Hotel,12.9486769506,77.6274512708,41,fast food,3.3,150,ejipura
NOTO - Healthy Ice Cream,12.9730934402,77.6091707847,16,"ice cream, mithai, desserts",3.7,150,brigade road
Tomba Kitchens,12.950368532,77.6252263784,79,"naga, chinese, beverages",4.3,150,ejipura
Cafe Coffee Day,12.97052,77.60996,27,"cafe, fast food, coffee, desserts, beverages",4.0,150,ground floor garuda mall brigade road
Momo Monk,12.968187,77.650777,723,momos,4.1,150,jeevan bhima nagar
Rahhams,13.0009093895,77.6131369919,1032,"biryani, mughlai, north indian, kebab, chinese",4.1,150,frazer town
Le Arabia,12.933545,77.6227283,72,"arabian, north indian, chinese, fast food, beverages, desserts",3.5,150,koramangala 5th block
Bombay Kulfi,12.9371642862,77.6247167587,0,desserts,New,150,koramangala 6th block
Indiana Burgers,12.983931808,77.6785765216,2161,"burger, rolls, beverages, desserts, shake",3.9,150,kaggadasapura
Crusto’s - Cheese Burst Pizza,12.9404117818,77.6251965854,18,pizza,3.8,150,koramangala 6th block
Chichaba's Taj,13.00035697,77.6173373312,553,"north indian, mughlai, biryani, kebab, seafood, beverages",4.0,150,frazer town
Goila Butter Chicken,12.9372747329,77.6244300976,123,"north indian, mughlai, biryani, rolls",4.1,350,koramangala 6th block
Sukh Sagar,12.9333306435,77.6231560484,520,"south indian, north indian, chinese, street food, ice cream, desserts, beverages",4.1,350,koramangala 5th block
Chaitra Restaurant,13.0130949757,77.6424478367,64,"north indian, chinese, andhra, biryani, seafood, fast food, south indian",3.6,350,kalyan nagar
Sichuan,12.967999294,77.6531044182,1208,"chinese, asian, thai, momos, sichuan",4.0,350,jeevan bhima nagar
Third Wave Coffee,12.9745178,77.6068982,399,"cafe, coffee, fast food, beverages",4.2,350,church street
Tharavadu,12.9371584044,77.6196383312,5,"kerala, biryani, chinese, sichuan",3.6,350,koramangala 5th block
Shanthi Sagar,12.9871785727,77.6189074293,211,"south indian, north indian, chinese, street food, desserts, shake, beverages",4.0,350,ulsoor
